variable,type,number_missing,percent_missing,number_unique
key,character,0,0,59
household_id,character,0,0,59
enumerator,character,0,0,4
barangay,character,0,0,4
interview_date,Date,0,0,11
form_version,numeric,0,0,2
duration_minutes,numeric,0,0,29
consent,numeric,1,0.01694915254237288,2
hh_size,numeric,0,0,9
children_under_15,numeric,0,0,7
ppi_q1_floor_solid,numeric,0,0,2
ppi_q2_has_toilet,numeric,0,0,2
ppi_q3_has_electricity,numeric,1,0.01694915254237288,2
ppi_q4_has_tv,numeric,0,0,2
ppi_q5_has_fridge,numeric,0,0,3
ppi_q6_head_completed_primary,numeric,0,0,2
ppi_q7_roof_durable,numeric,0,0,2
ppi_q8_has_mobile_phone,numeric,0,0,2
ppi_q9_owns_livestock,numeric,0,0,2
ppi_q10_has_savings,numeric,0,0,2
ppi_score,numeric,0,0,8
poverty_likelihood,numeric,0,0,58
enum_id,numeric,0,0,4
enum_team_id,numeric,0,0,2
phone_number,character,0,0,21
asset_main,numeric,0,0,2
asset_other,character,0,0,2
field_comments_id,character,0,0,59
textaudit_id,character,0,0,59
starttime,POSIXct/POSIXt,0,0,59
endtime,POSIXct/POSIXt,0,0,59
