school_id,time_point,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy
301143,BoSY,Grade 10,2-level,1093,519,-574,TRUE
301143,BoSY,Grade 10,3-level,1093,39,-1054,TRUE
301143,BoSY,Grade 7,2-level,1302,700,-602,TRUE
301143,BoSY,Grade 7,3-level,1302,105,-1197,TRUE
301143,BoSY,Grade 8,2-level,1140,454,-686,TRUE
301143,BoSY,Grade 8,3-level,1140,173,-967,TRUE
301143,BoSY,Grade 9,2-level,861,529,-332,TRUE
301143,BoSY,Grade 9,3-level,861,20,-841,TRUE
301143,EoSY,Grade 10,eosy,1054,1054,0,FALSE
301143,EoSY,Grade 7,eosy,1193,1193,0,FALSE
301143,EoSY,Grade 8,eosy,1088,1088,0,FALSE
301143,EoSY,Grade 9,eosy,809,809,0,FALSE
301175,BoSY,Grade 10,2-level,552,279,-273,TRUE
301175,BoSY,Grade 10,3-level,552,178,-374,TRUE
301175,BoSY,Grade 7,2-level,700,149,-551,TRUE
301175,BoSY,Grade 7,3-level,700,216,-484,TRUE
301175,BoSY,Grade 8,2-level,573,339,-234,TRUE
301175,BoSY,Grade 8,3-level,573,66,-507,TRUE
301175,BoSY,Grade 9,2-level,510,265,-245,TRUE
301175,BoSY,Grade 9,3-level,510,163,-347,TRUE
301175,EoSY,Grade 10,eosy,553,553,0,FALSE
301175,EoSY,Grade 7,eosy,701,701,0,FALSE
301175,EoSY,Grade 8,eosy,574,574,0,FALSE
301175,EoSY,Grade 9,eosy,509,509,0,FALSE
301184,BoSY,Grade 10,2-level,921,322,-599,TRUE
301184,BoSY,Grade 10,3-level,921,561,-360,TRUE
301184,BoSY,Grade 7,2-level,1318,1146,-172,TRUE
301184,BoSY,Grade 7,3-level,1318,146,-1172,TRUE
301184,BoSY,Grade 8,2-level,1124,720,-404,TRUE
301184,BoSY,Grade 8,3-level,1124,390,-734,TRUE
301184,BoSY,Grade 9,2-level,921,616,-305,TRUE
301184,BoSY,Grade 9,3-level,921,290,-631,TRUE
301184,EoSY,Grade 10,eosy,926,926,0,FALSE
301184,EoSY,Grade 7,eosy,1296,1296,0,FALSE
301184,EoSY,Grade 8,eosy,1134,1134,0,FALSE
301184,EoSY,Grade 9,eosy,930,930,0,FALSE
301186,BoSY,Grade 10,2-level,1607,757,-850,TRUE
301186,BoSY,Grade 10,3-level,1607,568,-1039,TRUE
301186,BoSY,Grade 7,2-level,2124,616,-1508,TRUE
301186,BoSY,Grade 7,3-level,2124,1412,-712,TRUE
301186,BoSY,Grade 8,2-level,1823,660,-1163,TRUE
301186,BoSY,Grade 8,3-level,1823,993,-830,TRUE
301186,BoSY,Grade 9,2-level,1540,961,-579,TRUE
301186,BoSY,Grade 9,3-level,1540,454,-1086,TRUE
301186,EoSY,Grade 10,eosy,1540,1540,0,FALSE
301186,EoSY,Grade 7,eosy,2060,2060,0,FALSE
301186,EoSY,Grade 8,eosy,1755,1755,0,FALSE
301186,EoSY,Grade 9,eosy,1470,1470,0,FALSE
301188,BoSY,Grade 10,2-level,647,430,-217,TRUE
301188,BoSY,Grade 10,3-level,647,3,-644,TRUE
301188,BoSY,Grade 7,2-level,714,281,-433,TRUE
301188,BoSY,Grade 7,3-level,714,425,-289,TRUE
301188,BoSY,Grade 8,2-level,683,224,-459,TRUE
301188,BoSY,Grade 8,3-level,683,374,-309,TRUE
301188,BoSY,Grade 9,2-level,606,306,-300,TRUE
301188,BoSY,Grade 9,3-level,606,183,-423,TRUE
301188,EoSY,Grade 10,eosy,576,576,0,FALSE
301188,EoSY,Grade 7,eosy,631,631,0,FALSE
301188,EoSY,Grade 8,eosy,603,603,0,FALSE
301188,EoSY,Grade 9,eosy,556,556,0,FALSE
301197,BoSY,Grade 10,2-level,343,50,-293,TRUE
301197,BoSY,Grade 10,3-level,343,37,-306,TRUE
301197,BoSY,Grade 7,2-level,442,178,-264,TRUE
301197,BoSY,Grade 7,3-level,442,70,-372,TRUE
301197,BoSY,Grade 8,2-level,329,54,-275,TRUE
