school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,level_group,reading_category,student_count,english_assessed,percent_of_english_assessed
309906,5,508,50811,Treatment,BoSY,Grade 7,2-level,frustration,31,130,23.846153846153847
309934,5,508,50806,Treatment,BoSY,Grade 7,2-level,frustration,2,43,4.651162790697675
301871,5,501,50107,Treatment,BoSY,Grade 7,2-level,frustration,1,73,1.36986301369863
302134,5,508,50804,Treatment,BoSY,Grade 7,2-level,frustration,12,169,7.100591715976331
302117,5,508,50803,Treatment,BoSY,Grade 7,2-level,frustration,0,92,0
309909,5,508,50801,Treatment,BoSY,Grade 7,2-level,frustration,0,127,0
309915,5,508,50801,Treatment,BoSY,Grade 7,2-level,frustration,5,51,9.803921568627452
501544,5,508,50815,Treatment,BoSY,Grade 7,2-level,frustration,7,72,9.722222222222221
301887,5,502,50205,Treatment,BoSY,Grade 7,2-level,frustration,17,98,17.346938775510203
302175,5,508,50820,Treatment,BoSY,Grade 7,2-level,frustration,10,126,7.936507936507937
302146,5,508,50812,Treatment,BoSY,Grade 7,2-level,frustration,2,150,1.3333333333333333
309921,5,508,50805,Treatment,BoSY,Grade 7,2-level,frustration,0,97,0
302254,5,505,50501,Control,BoSY,Grade 7,2-level,frustration,12,93,12.903225806451612
309513,5,501,50112,Control,BoSY,Grade 7,2-level,frustration,0,122,0
500163,5,508,50801,Control,BoSY,Grade 7,2-level,frustration,6,76,7.894736842105263
302058,5,503,50333,Control,BoSY,Grade 7,2-level,frustration,3,99,3.0303030303030303
302192,5,511,51103,Control,BoSY,Grade 7,2-level,frustration,51,286,17.832167832167833
302227,5,511,51105,Control,BoSY,Grade 7,2-level,frustration,7,76,9.210526315789474
302252,5,505,50501,Control,BoSY,Grade 7,2-level,frustration,7,98,7.142857142857143
309914,5,508,50806,Control,BoSY,Grade 7,2-level,frustration,0,230,0
309711,5,503,50317,Control,BoSY,Grade 7,2-level,frustration,1,64,1.5625
301817,5,507,50701,Control,BoSY,Grade 7,2-level,frustration,0,114,0
302165,5,508,50816,Control,BoSY,Grade 7,2-level,frustration,8,92,8.695652173913043
301974,5,503,50311,Treatment,BoSY,Grade 7,2-level,frustration,5,82,6.097560975609756
302256,5,505,50501,Control,BoSY,Grade 7,2-level,frustration,3,115,2.608695652173913
301834,5,501,50106,Control,BoSY,Grade 7,2-level,frustration,21,165,12.727272727272727
309760,5,503,50306,Control,BoSY,Grade 7,2-level,frustration,1,34,2.9411764705882355
309936,5,508,50819,Control,BoSY,Grade 7,2-level,frustration,8,56,14.285714285714286
302203,5,511,51102,Control,BoSY,Grade 7,2-level,frustration,10,81,12.345679012345679
302011,5,503,50314,Control,BoSY,Grade 7,2-level,frustration,19,229,8.296943231441048
500168,5,505,50501,Control,BoSY,Grade 7,2-level,frustration,5,90,5.555555555555555
301947,5,503,50306,Control,BoSY,Grade 7,2-level,frustration,65,312,20.833333333333332
309941,5,508,50812,Control,BoSY,Grade 7,2-level,frustration,27,244,11.065573770491802
301839,5,501,50111,Control,BoSY,Grade 7,2-level,frustration,3,90,3.3333333333333335
501843,5,508,50818,Treatment,BoSY,Grade 7,2-level,frustration,3,40,7.5
302111,5,508,50801,Control,BoSY,Grade 7,2-level,frustration,0,496,0
302133,5,509,50901,Control,BoSY,Grade 7,2-level,frustration,5,174,2.8735632183908044
301990,5,503,50317,Control,BoSY,Grade 7,2-level,frustration,2,64,3.125
309937,5,508,50819,Control,BoSY,Grade 7,2-level,frustration,10,80,12.5
302241,5,511,51105,Control,BoSY,Grade 7,2-level,frustration,10,170,5.882352941176471
500167,5,505,50501,Control,BoSY,Grade 7,2-level,frustration,3,60,5
