full_municipality_code,n_schools,control_schools,treatment_schools,pct_control,pct_treatment,enrolled_jhs,philiri_bosy_enrolled,philiri_bosy_assessed,philiri_bosy_assessment_rate,rma_bosy_enrolled,rma_bosy_assessed,rma_bosy_assessment_rate,philiri_eosy_enrolled,philiri_eosy_assessed,philiri_eosy_assessment_rate,rma_eosy_enrolled,rma_eosy_assessed,rma_eosy_assessment_rate,compliance_denominator,n_compliant,compliance_rate
110101,16,14,2,87.5,12.5,2552,2774,2751,99.170876,2753,2740,99.527786,2760,2665,96.557968,2749,2679,97.453621,16,2,12.5
110202,1,1,0,100,0,94,115,115,100,115,115,100,116,116,100,115,111,96.521736,1,0,0
110303,1,1,0,100,0,226,205,205,100,208,207,99.519234,217,199,91.70507,208,207,99.519234,1,0,0
110305,2,2,0,100,0,173,204,193,94.607841,198,189,95.454544,196,185,94.387756,190,190,100,2,0,0
110306,1,1,0,100,0,177,170,170,100,156,131,83.974358,225,225,100,233,233,100,1,0,0
110503,4,3,1,75,25,721,603,586,97.180763,600,567,94.5,576,546,94.791664,595,516,86.722687,4,1,25
110606,1,1,0,100,0,43,88,69,78.409088,80,79,98.75,80,73,91.25,79,79,100,1,0,0
110608,1,1,0,100,0,180,180,180,100,180,180,100,177,165,93.220337,180,164,91.111115,1,0,0
110701,3,3,0,100,0,1151,1188,1173,98.737373,1203,1203,100,1237,1066,86.176231,1231,1159,94.1511,3,0,0
111001,7,6,1,85.714287,14.285714,2366,2563,2519,98.283264,2550,2478,97.176468,2568,2394,93.224297,2592,2428,93.672836,7,1,14.285714
150101,2,1,1,50,50,5742,5555,5170,93.069305,5463,5241,95.936302,5487,2627,47.876801,5297,5058,95.488014,2,1,50
150301,3,3,0,100,0,8047,8177,8177,100,8092,8074,99.777557,7917,5589,70.594925,8012,7677,95.818771,3,0,0
150501,5,3,2,60,40,9701,9795,9176,93.68045,9650,9443,97.854919,9516,6278,65.973099,9528,9093,95.434509,5,2,40
150601,1,1,0,100,0,1836,1442,1315,91.192787,1379,1377,99.854965,1420,1191,83.873238,1360,1330,97.794121,1,0,0
150702,1,1,0,100,0,1365,1252,1172,93.610222,1228,1154,93.973938,1171,1141,97.438087,1230,1154,93.821136,1,0,0
150703,1,0,1,0,100,943,1300,1213,93.307693,1304,1155,88.573616,1212,455,37.541256,1287,1268,98.523697,1,1,100
150708,1,1,0,100,0,2403,2405,2276,94.636177,2424,2307,95.173264,2170,1356,62.48848,2398,2396,99.916595,1,0,0
150709,1,0,1,0,100,4769,4634,4299,92.770821,4622,4621,99.978363,4385,4046,92.269096,4510,4383,97.184036,1,1,100
150710,3,3,0,100,0,11176,10723,10619,99.030121,10625,10662,100.34824,10509,7113,67.684845,10466,10111,96.608063,3,0,0
150901,1,1,0,100,0,2946,3127,2950,94.339622,3122,3091,99.00705,3044,1242,40.801579,3059,2973,97.188622,1,0,0
151001,2,2,0,100,0,4058,3870,3870,100,4041,3840,95.025986,3956,2366,59.807888,3912,3863,98.747444,2,0,0
151101,3,2,1,66.666664,33.333332,4942,4419,4286,96.990273,4350,4311,99.103447,4471,4086,91.388954,4303,4234,98.396469,3,1,33.333332
151201,2,2,0,100,0,5657,5449,5449,100,5571,5545,99.533295,5396,3885,71.99778,5085,5075,99.803345,2,0,0
151301,3,1,2,33.333332,66.666664,14071,13609,12960,95.231094,13595,13578,99.874954,13324,11557,86.73822,13431,13241,98.585365,3,2,66.666664
151401,8,8,0,100,0,33879,30440,29055,95.450066,29471,28178,95.612633,30017,26061,86.820801,29533,28681,97.115089,8,0,0
151502,7,4,3,57.142857,42.857143,23716,20995,20884,99.471306,20638,20376,98.730499,20558,15828,76.991928,19793,19339,97.706261,7,3,42.857143
151601,4,4,0,100,0,7952,7892,7590,96.17334,7859,7815,99.440132,7490,6316,84.325768,7741,7609,98.294792,4,0,0
40101,2,2,0,100,0,15881,15527,15512,99.903397,15566,15540,99.83297,14952,14861,99.391388,15195,14349,94.432381,2,0,0
40201,1,1,0,100,0,2765,2660,2650,99.624062,2284,2210,96.760071,2366,2366,100,2643,2529,95.686722,1,0,0
40807,1,1,0,100,0,2215,2335,2335,100,2320,2320,100,2337,2337,100,2483,2483,100,1,0,0
40812,2,2,0,100,0,2933,2902,2902,100,2909,2909,100,2862,1419,49.580711,2818,2802,99.43222,2,0,0
40814,1,1,0,100,0,7960,8018,8018,100,8192,8186,99.926758,7850,6398,81.503181,7933,7866,99.155426,1,0,0
41001,2,2,0,100,0,11728,11591,11378,98.162369,11434,11412,99.807594,11179,11111,99.391716,10793,10697,99.110535,2,0,0
41101,1,0,1,0,100,3040,2651,2426,91.512634,2642,2642,100,2680,2238,83.507462,2642,2642,100,1,1,100
41301,1,1,0,100,0,1577,1606,1606,100,1606,1607,100.06226,1561,1561,100,1559,1559,100,1,0,0
41302,1,1,0,100,0,755,824,824,100,829,829,100,798,798,100,799,799,100,1,0,0
41303,1,1,0,100,0,2130,2244,2176,96.969696,2244,2244,100,2136,540,25.280899,2120,2112,99.622643,1,0,0
41308,2,0,2,0,100,2893,3121,3121,100,3144,3141,99.904579,3059,2902,94.867607,3059,3049,99.673096,2,2,100
41309,1,1,0,100,0,1210,1235,1235,100,1212,1212,100,1173,1173,100,1169,1168,99.914459,1,0,0
41312,1,1,0,100,0,7694,7881,7881,100,7809,7574,96.990654,7654,7267,94.943817,7597,7227,95.129654,1,0,0
41401,2,1,1,50,50,2745,2841,2814,99.049629,2749,2748,99.963623,2745,2592,94.426231,2728,2719,99.67009,2,1,50
41501,1,1,0,100,0,2517,2387,2387,100,2387,2346,98.282364,2399,2399,100,2400,2210,92.083336,1,0,0
