"code","code_label","description","keywords"
1,"cost_financial_assistance","Mentions tuition, discount, voucher, subsidy, expenses, affordability, or financial burden.","tuition|discount|voucher|subsid|financial|finance|expense|cost|afford|money|budget|bayad|bawas|mura|makamura|tipid|assistance|support|lessen|reduce|aid|grant|libre|libere|tulong|makatulong|malaking tulong|pag.?aaral"
2,"distance_transport_proximity","Mentions distance, nearby school, commute, fare, transport, or location convenience.","distance|near|nearby|malapit|katabi|pamasahe|fare|transport|commute|location|travel|sakay"
3,"school_quality_private_opportunity","Mentions private school access, quality education, better learning, opportunities, or future outcomes.","quality|private|education|learning|opportunit|future|better|grow|succeed|experience|school|guro|pangarap"
4,"school_or_person_recommended","Mentions teacher, school, family, friend, social media, poster, caravan, or other referral source.","teacher|school recommend|recommended|suggested|encouraged|family|friend|social media|poster|caravan|told|learn about|heard"
5,"awareness_or_eligibility","Mentions not knowing about the program, not being informed, public-school origin, eligibility, or no previous access.","not aware|didn't know|did not know|no idea|no one told|didn't hear|did not hear|public school|from public|not previous|not recipient|eligible|eligibility|no esc|not yet needed"
6,"learner_choice_or_preference","Mentions that the learner chose the school/program or prefers to join friends/classmates.","child choose|child chose|son choose|daughter choose|learner choose|friends|schoolmates|preference|preferred|choice"
7,"family_vulnerability","Mentions single parent, widow, low income, loans, no work, disability, or similar household vulnerability.","single parent|widow|less fortunate|insufficient income|mababang income|no work|unemployed|loan|special child|disability|poor|hirap|naghahanapbuhay"
8,"form_questionnaire_difficulty","Mentions unclear/difficult form questions, confusing sections, updates, meetings, group chats, or process questions.","difficult|understand|unclear|confusing|question|feedback|questionnaire|section|updated|meeting|gc|process|how the voucher|what is esc|pagkakaiba|explanation|introduction|intindihan|enlighten|in lighten"
9,"positive_feedback_or_thanks","Mentions thanks, good, okay, clear, or other positive feedback.","thank|good|ok|okay|clear|responded well|all are clear"
90,"other_substantive","Substantive response that does not match codes 1-9.",""
99,"blank_none_or_not_applicable","Blank, none, n/a, no question, not applicable, punctuation-only, or equivalent non-substantive response.","none|n/a|na|no|nothing|not applicable|^\.*$|^-$"
