"response_id","question_key","raw_response","primary_code","primary_code_label","matching_codes","needs_review"
1,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
2,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
3,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
4,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
5,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
6,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
7,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
8,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
9,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
10,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
11,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
12,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
13,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
14,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
15,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
16,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
17,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
18,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
19,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
20,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
21,"why_apply_esc","My son choose",6,"learner_choice_or_preference","6",FALSE
22,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
23,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
24,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
25,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
26,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
27,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
28,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
29,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
30,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
31,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
32,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
