"question_key","primary_code","primary_code_label","response_count","question_total","share_of_question"
"difficult_question_section",3,"school_quality_private_opportunity",1552,15837,0.0979983582749258
"difficult_question_section",4,"school_or_person_recommended",1115,15837,0.0704047483740607
"difficult_question_section",9,"positive_feedback_or_thanks",1505,15837,0.0950306244869609
"difficult_question_section",90,"other_substantive",11474,15837,0.72450590389594
"difficult_question_section",99,"blank_none_or_not_applicable",191,15837,0.0120603649681126
"questions_or_feedback",1,"cost_financial_assistance",601,15837,0.0379491065227
"questions_or_feedback",3,"school_quality_private_opportunity",192,15837,0.012123508240197
"questions_or_feedback",4,"school_or_person_recommended",23,15837,0.00145229525794027
"questions_or_feedback",5,"awareness_or_eligibility",15,15837,0.000947149081265391
"questions_or_feedback",6,"learner_choice_or_preference",8,15837,0.000505146176674875
"questions_or_feedback",7,"family_vulnerability",15,15837,0.000947149081265391
"questions_or_feedback",8,"form_questionnaire_difficulty",1621,15837,0.102355244048747
"questions_or_feedback",9,"positive_feedback_or_thanks",930,15837,0.0587232430384543
"questions_or_feedback",90,"other_substantive",2474,15837,0.156216455136705
"questions_or_feedback",99,"blank_none_or_not_applicable",9958,15837,0.628780703416051
"why_apply_esc",1,"cost_financial_assistance",4042,15837,0.255225105764981
"why_apply_esc",2,"distance_transport_proximity",5,15837,0.000315716360421797
"why_apply_esc",3,"school_quality_private_opportunity",513,15837,0.0323924985792764
"why_apply_esc",4,"school_or_person_recommended",71,15837,0.00448317231798952
"why_apply_esc",5,"awareness_or_eligibility",6,15837,0.000378859632506156
"why_apply_esc",6,"learner_choice_or_preference",4,15837,0.000252573088337438
"why_apply_esc",7,"family_vulnerability",49,15837,0.00309402033213361
"why_apply_esc",8,"form_questionnaire_difficulty",1,15837,6.31432720843594e-05
"why_apply_esc",9,"positive_feedback_or_thanks",22,15837,0.00138915198585591
"why_apply_esc",90,"other_substantive",1031,15837,0.0651007135189745
"why_apply_esc",99,"blank_none_or_not_applicable",10093,15837,0.63730504514744
"why_apply_shs_vp",1,"cost_financial_assistance",5942,15837,0.375197322725264
"why_apply_shs_vp",2,"distance_transport_proximity",31,15837,0.00195744143461514
"why_apply_shs_vp",3,"school_quality_private_opportunity",1115,15837,0.0704047483740607
"why_apply_shs_vp",4,"school_or_person_recommended",158,15837,0.00997663698932879
"why_apply_shs_vp",5,"awareness_or_eligibility",9,15837,0.000568289448759235
"why_apply_shs_vp",6,"learner_choice_or_preference",11,15837,0.000694575992927954
"why_apply_shs_vp",7,"family_vulnerability",62,15837,0.00391488286923028
"why_apply_shs_vp",8,"form_questionnaire_difficulty",11,15837,0.000694575992927954
"why_apply_shs_vp",9,"positive_feedback_or_thanks",38,15837,0.00239944433920566
"why_apply_shs_vp",90,"other_substantive",2087,15837,0.131780008840058
"why_apply_shs_vp",99,"blank_none_or_not_applicable",6373,15837,0.402412072993623
"why_not_previous_esc",1,"cost_financial_assistance",615,15837,0.038833112331881
"why_not_previous_esc",2,"distance_transport_proximity",23,15837,0.00145229525794027
"why_not_previous_esc",3,"school_quality_private_opportunity",2864,15837,0.180842331249605
"why_not_previous_esc",4,"school_or_person_recommended",43,15837,0.00271516069962745
"why_not_previous_esc",5,"awareness_or_eligibility",327,15837,0.0206478499715855
"why_not_previous_esc",6,"learner_choice_or_preference",5,15837,0.000315716360421797
"why_not_previous_esc",7,"family_vulnerability",17,15837,0.00107343562543411
"why_not_previous_esc",8,"form_questionnaire_difficulty",42,15837,0.0026520174275431
"why_not_previous_esc",9,"positive_feedback_or_thanks",20,15837,0.00126286544168719
"why_not_previous_esc",90,"other_substantive",3350,15837,0.211529961482604
"why_not_previous_esc",99,"blank_none_or_not_applicable",8531,15837,0.53867525415167
