school_id,time_point,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy
301143,BoSY,Grade 10,911,911,0,FALSE
301143,BoSY,Grade 7,1241,1241,0,FALSE
301143,BoSY,Grade 8,1069,1069,0,FALSE
301143,BoSY,Grade 9,733,733,0,FALSE
301143,EoSY,Grade 10,984,984,0,FALSE
301143,EoSY,Grade 7,1099,1099,0,FALSE
301143,EoSY,Grade 8,1052,1052,0,FALSE
301143,EoSY,Grade 9,716,716,0,FALSE
301175,BoSY,Grade 10,549,549,0,FALSE
301175,BoSY,Grade 7,697,697,0,FALSE
301175,BoSY,Grade 8,567,567,0,FALSE
301175,BoSY,Grade 9,507,507,0,FALSE
301175,EoSY,Grade 10,501,501,0,FALSE
301175,EoSY,Grade 7,683,683,0,FALSE
301175,EoSY,Grade 8,817,817,0,FALSE
301175,EoSY,Grade 9,482,482,0,FALSE
301184,BoSY,Grade 10,965,965,0,FALSE
301184,BoSY,Grade 7,1327,1327,0,FALSE
301184,BoSY,Grade 8,1125,1125,0,FALSE
301184,BoSY,Grade 9,926,926,0,FALSE
301184,EoSY,Grade 10,911,911,0,FALSE
301184,EoSY,Grade 7,1235,1235,0,FALSE
301184,EoSY,Grade 8,1052,1052,0,FALSE
301184,EoSY,Grade 9,862,862,0,FALSE
301186,BoSY,Grade 10,1581,1581,0,FALSE
301186,BoSY,Grade 7,2144,2144,0,FALSE
301186,BoSY,Grade 8,1818,1818,0,FALSE
301186,BoSY,Grade 9,1526,1526,0,FALSE
301186,EoSY,Grade 10,1392,1392,0,FALSE
301186,EoSY,Grade 7,2044,2044,0,FALSE
301186,EoSY,Grade 8,1731,1731,0,FALSE
301186,EoSY,Grade 9,1470,1470,0,FALSE
301188,BoSY,Grade 10,653,653,0,FALSE
301188,BoSY,Grade 7,454,454,0,FALSE
301188,BoSY,Grade 8,488,488,0,FALSE
301188,BoSY,Grade 9,615,615,0,FALSE
301188,EoSY,Grade 10,587,587,0,FALSE
301188,EoSY,Grade 7,691,691,0,FALSE
301188,EoSY,Grade 8,641,641,0,FALSE
301188,EoSY,Grade 9,610,610,0,FALSE
301197,BoSY,Grade 10,348,348,0,FALSE
301197,BoSY,Grade 7,443,443,0,FALSE
301197,BoSY,Grade 8,336,336,0,FALSE
301197,BoSY,Grade 9,358,358,0,FALSE
301197,EoSY,Grade 10,337,337,0,FALSE
301197,EoSY,Grade 7,430,430,0,FALSE
301197,EoSY,Grade 8,298,298,0,FALSE
301197,EoSY,Grade 9,348,348,0,FALSE
301202,BoSY,Grade 10,320,320,0,FALSE
301202,BoSY,Grade 7,431,431,0,FALSE
301202,BoSY,Grade 8,374,374,0,FALSE
301202,BoSY,Grade 9,299,299,0,FALSE
301202,EoSY,Grade 10,314,314,0,FALSE
301202,EoSY,Grade 7,416,416,0,FALSE
301202,EoSY,Grade 8,374,374,0,FALSE
301202,EoSY,Grade 9,285,285,0,FALSE
301214,BoSY,Grade 10,715,715,0,FALSE
301214,BoSY,Grade 7,645,645,0,FALSE
301214,BoSY,Grade 8,628,628,0,FALSE
301214,BoSY,Grade 9,654,654,0,FALSE
301214,EoSY,Grade 10,715,715,0,FALSE
301214,EoSY,Grade 7,645,645,0,FALSE
301214,EoSY,Grade 8,628,628,0,FALSE
301214,EoSY,Grade 9,654,654,0,FALSE
301218,BoSY,Grade 10,1823,1823,0,FALSE
301218,BoSY,Grade 7,2316,2316,0,FALSE
301218,BoSY,Grade 8,2164,2164,0,FALSE
301218,BoSY,Grade 9,1883,1883,0,FALSE
301218,EoSY,Grade 10,1763,1763,0,FALSE
301218,EoSY,Grade 7,2225,2225,0,FALSE
301218,EoSY,Grade 8,2073,2073,0,FALSE
301218,EoSY,Grade 9,1805,1805,0,FALSE
301227,BoSY,Grade 10,1249,1249,0,FALSE
301227,BoSY,Grade 7,1589,1589,0,FALSE
301227,BoSY,Grade 8,1430,1430,0,FALSE
301227,BoSY,Grade 9,1022,1022,0,FALSE
301227,EoSY,Grade 10,792,792,0,FALSE
301227,EoSY,Grade 7,808,808,0,FALSE
301227,EoSY,Grade 8,817,817,0,FALSE
301227,EoSY,Grade 9,562,562,0,FALSE
301231,BoSY,Grade 10,190,190,0,FALSE
301231,BoSY,Grade 7,235,235,0,FALSE
301231,BoSY,Grade 8,238,238,0,FALSE
301231,BoSY,Grade 9,166,166,0,FALSE
301231,EoSY,Grade 10,183,183,0,FALSE
301231,EoSY,Grade 7,225,225,0,FALSE
301231,EoSY,Grade 8,234,234,0,FALSE
301231,EoSY,Grade 9,157,157,0,FALSE
