school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,proficiency_group,student_count,assessed_count,percent_of_assessed
309906,5,508,50811,Treatment,BoSY,Grade 7,not proficient,124,128,96.875
309934,5,508,50806,Treatment,BoSY,Grade 7,not proficient,21,43,48.83720930232558
301871,5,501,50107,Treatment,BoSY,Grade 7,not proficient,29,73,39.726027397260275
302134,5,508,50804,Treatment,BoSY,Grade 7,not proficient,162,168,96.42857142857143
302117,5,508,50803,Treatment,BoSY,Grade 7,not proficient,84,93,90.3225806451613
309909,5,508,50801,Treatment,BoSY,Grade 7,not proficient,123,126,97.61904761904762
309915,5,508,50801,Treatment,BoSY,Grade 7,not proficient,33,51,64.70588235294117
501544,5,508,50815,Treatment,BoSY,Grade 7,not proficient,51,72,70.83333333333333
301887,5,502,50205,Treatment,BoSY,Grade 7,not proficient,88,101,87.12871287128714
302175,5,508,50820,Treatment,BoSY,Grade 7,not proficient,132,132,100
302146,5,508,50812,Treatment,BoSY,Grade 7,not proficient,149,160,93.125
309921,5,508,50805,Treatment,BoSY,Grade 7,not proficient,89,97,91.75257731958763
302254,5,505,50501,Control,BoSY,Grade 7,not proficient,87,93,93.54838709677419
309513,5,501,50112,Control,BoSY,Grade 7,not proficient,118,122,96.72131147540983
500163,5,508,50801,Control,BoSY,Grade 7,not proficient,53,76,69.73684210526316
302058,5,503,50333,Control,BoSY,Grade 7,not proficient,134,138,97.10144927536231
302192,5,511,51103,Control,BoSY,Grade 7,not proficient,213,287,74.21602787456446
302227,5,511,51105,Control,BoSY,Grade 7,not proficient,88,98,89.79591836734694
302252,5,505,50501,Control,BoSY,Grade 7,not proficient,68,99,68.68686868686869
309914,5,508,50806,Control,BoSY,Grade 7,not proficient,180,229,78.60262008733625
309711,5,503,50317,Control,BoSY,Grade 7,not proficient,64,65,98.46153846153847
301817,5,507,50701,Control,BoSY,Grade 7,not proficient,111,114,97.36842105263158
302165,5,508,50816,Control,BoSY,Grade 7,not proficient,77,92,83.69565217391305
301974,5,503,50311,Treatment,BoSY,Grade 7,not proficient,84,87,96.55172413793103
302256,5,505,50501,Control,BoSY,Grade 7,not proficient,88,114,77.19298245614036
301834,5,501,50106,Control,BoSY,Grade 7,not proficient,135,163,82.82208588957056
309760,5,503,50306,Control,BoSY,Grade 7,not proficient,12,34,35.294117647058826
309936,5,508,50819,Control,BoSY,Grade 7,not proficient,51,59,86.44067796610169
302203,5,511,51102,Control,BoSY,Grade 7,not proficient,71,80,88.75
302011,5,503,50314,Control,BoSY,Grade 7,not proficient,173,244,70.90163934426229
500168,5,505,50501,Control,BoSY,Grade 7,not proficient,84,90,93.33333333333333
301947,5,503,50306,Control,BoSY,Grade 7,not proficient,150,365,41.0958904109589
309941,5,508,50812,Control,BoSY,Grade 7,not proficient,232,232,100
301839,5,501,50111,Control,BoSY,Grade 7,not proficient,4,90,4.444444444444445
501843,5,508,50818,Treatment,BoSY,Grade 7,not proficient,5,40,12.5
302111,5,508,50801,Control,BoSY,Grade 7,not proficient,284,540,52.592592592592595
302133,5,509,50901,Control,BoSY,Grade 7,not proficient,97,190,51.05263157894737
301990,5,503,50317,Control,BoSY,Grade 7,not proficient,20,21,95.23809523809524
309937,5,508,50819,Control,BoSY,Grade 7,not proficient,78,80,97.5
