full_division_code,n_schools,control_schools,treatment_schools,pct_control,pct_treatment,enrolled_jhs,philiri_bosy_enrolled,philiri_bosy_assessed,philiri_bosy_assessment_rate,rma_bosy_enrolled,rma_bosy_assessed,rma_bosy_assessment_rate,philiri_eosy_enrolled,philiri_eosy_assessed,philiri_eosy_assessment_rate,rma_eosy_enrolled,rma_eosy_assessed,rma_eosy_assessment_rate,compliance_denominator,n_compliant,compliance_rate
1101,16,14,2,87.5,12.5,2552,2774,2751,99.170876,2753,2740,99.527786,2760,2665,96.557968,2749,2679,97.453621,16,2,12.5
1102,1,1,0,100,0,94,115,115,100,115,115,100,116,116,100,115,111,96.521736,1,0,0
1103,4,4,0,100,0,576,579,568,98.100174,562,527,93.77224,638,609,95.454544,631,630,99.841522,4,0,0
1105,4,3,1,75,25,721,603,586,97.180763,600,567,94.5,576,546,94.791664,595,516,86.722687,4,1,25
1106,2,2,0,100,0,223,268,249,92.910446,260,259,99.615387,257,238,92.607002,259,243,93.822395,2,0,0
1107,3,3,0,100,0,1151,1188,1173,98.737373,1203,1203,100,1237,1066,86.176231,1231,1159,94.1511,3,0,0
1110,7,6,1,85.714287,14.285714,2366,2563,2519,98.283264,2550,2478,97.176468,2568,2394,93.224297,2592,2428,93.672836,7,1,14.285714
1501,2,1,1,50,50,5742,5555,5170,93.069305,5463,5241,95.936302,5487,2627,47.876801,5297,5058,95.488014,2,1,50
1503,3,3,0,100,0,8047,8177,8177,100,8092,8074,99.777557,7917,5589,70.594925,8012,7677,95.818771,3,0,0
1505,5,3,2,60,40,9701,9795,9176,93.68045,9650,9443,97.854919,9516,6278,65.973099,9528,9093,95.434509,5,2,40
1506,1,1,0,100,0,1836,1442,1315,91.192787,1379,1377,99.854965,1420,1191,83.873238,1360,1330,97.794121,1,0,0
1507,7,5,2,71.428574,28.571428,20656,20314,19579,96.381805,20203,19899,98.49527,19447,14111,72.561317,19891,19312,97.089134,7,2,28.571428
1509,1,1,0,100,0,2946,3127,2950,94.339622,3122,3091,99.00705,3044,1242,40.801579,3059,2973,97.188622,1,0,0
1510,2,2,0,100,0,4058,3870,3870,100,4041,3840,95.025986,3956,2366,59.807888,3912,3863,98.747444,2,0,0
1511,3,2,1,66.666664,33.333332,4942,4419,4286,96.990273,4350,4311,99.103447,4471,4086,91.388954,4303,4234,98.396469,3,1,33.333332
1512,2,2,0,100,0,5657,5449,5449,100,5571,5545,99.533295,5396,3885,71.99778,5085,5075,99.803345,2,0,0
1513,3,1,2,33.333332,66.666664,14071,13609,12960,95.231094,13595,13578,99.874954,13324,11557,86.73822,13431,13241,98.585365,3,2,66.666664
1514,8,8,0,100,0,33879,30440,29055,95.450066,29471,28178,95.612633,30017,26061,86.820801,29533,28681,97.115089,8,0,0
1515,7,4,3,57.142857,42.857143,23716,20995,20884,99.471306,20638,20376,98.730499,20558,15828,76.991928,19793,19339,97.706261,7,3,42.857143
1516,4,4,0,100,0,7952,7892,7590,96.17334,7859,7815,99.440132,7490,6316,84.325768,7741,7609,98.294792,4,0,0
401,2,2,0,100,0,15881,15527,15512,99.903397,15566,15540,99.83297,14952,14861,99.391388,15195,14349,94.432381,2,0,0
402,1,1,0,100,0,2765,2660,2650,99.624062,2284,2210,96.760071,2366,2366,100,2643,2529,95.686722,1,0,0
408,4,4,0,100,0,13108,13255,13255,100,13421,13415,99.955292,13049,10154,77.814392,13234,13151,99.372826,4,0,0
410,2,2,0,100,0,11728,11591,11378,98.162369,11434,11412,99.807594,11179,11111,99.391716,10793,10697,99.110535,2,0,0
411,1,0,1,0,100,3040,2651,2426,91.512634,2642,2642,100,2680,2238,83.507462,2642,2642,100,1,1,100
413,7,5,2,71.428574,28.571428,16259,16911,16843,99.597893,16844,16607,98.592972,16381,14241,86.936081,16303,15914,97.613937,7,2,28.571428
414,2,1,1,50,50,2745,2841,2814,99.049629,2749,2748,99.963623,2745,2592,94.426231,2728,2719,99.67009,2,1,50
415,1,1,0,100,0,2517,2387,2387,100,2387,2346,98.282364,2399,2399,100,2400,2210,92.083336,1,0,0
416,1,1,0,100,0,1941,1907,1907,100,1877,1637,87.213638,1810,1797,99.281769,1816,1802,99.229073,1,0,0
417,12,12,0,100,0,24809,24937,23482,94.165298,23538,23993,101.93304,22434,21187,94.441475,23910,23310,97.490593,12,0,0
418,2,2,0,100,0,1643,1640,1576,96.097565,1655,1523,92.02417,1645,1645,100,1620,1491,92.037041,2,0,0
420,1,1,0,100,0,5584,5280,5174,97.992424,5333,5290,99.193703,3530,3530,100,3419,2979,87.130737,1,0,0
421,1,1,0,100,0,4631,4482,4396,98.081215,4127,3954,95.80809,4189,4144,98.925758,4238,3851,90.868332,1,0,0
422,1,1,0,100,0,642,629,629,100,629,618,98.25119,609,609,100,631,621,98.415215,1,0,0
501,11,10,1,90.909088,9.090909,4358,4370,4365,99.885582,4256,4156,97.650375,4310,4104,95.220421,4345,4290,98.734177,11,1,9.090909
502,3,2,1,66.666664,33.333332,1146,1087,1068,98.252068,1075,1047,97.395348,1057,932,88.17408,1056,1000,94.696968,3,1,33.333332
503,24,23,1,95.833336,4.1666665,12793,12282,11835,96.360527,12118,12018,99.174782,12065,11427,94.711975,11624,11315,97.341705,24,1,4.1666665
505,5,5,0,100,0,1738,1667,1656,99.340134,1655,1654,99.939575,1671,1455,87.073608,1658,1652,99.638115,5,0,0
506,1,1,0,100,0,329,307,307,100,307,307,100,297,279,93.939392,297,295,99.326599,1,0,0
507,2,2,0,100,0,1201,1284,1284,100,1278,1273,99.608765,1212,1160,95.709572,1247,1240,99.438652,2,0,0
508,30,17,13,56.666668,43.333332,12776,12016,11919,99.192741,12154,12106,99.605072,11626,11063,95.157402,11891,11621,97.729378,30,13,43.333332
509,1,1,0,100,0,635,683,621,90.922401,660,660,100,635,635,100,637,637,100,1,0,0
511,6,6,0,100,0,2791,2856,2819,98.704483,2812,2790,99.217636,2824,2437,86.296036,2779,2584,92.983086,6,0,0
513,4,4,0,100,0,3430,3430,3413,99.504372,2500,2458,98.32,3422,3091,90.327293,3236,3201,98.918419,4,0,0
701,1,1,0,100,0,477,468,468,100,470,464,98.723404,511,511,100,510,414,81.176468,1,0,0
703,9,3,6,33.333332,66.666664,2304,2359,2357,99.915215,2368,2368,100,2285,2191,95.886215,2286,2273,99.43132,9,6,66.666664
704,1,1,0,100,0,111,126,126,100,124,124,100,125,123,98.400002,123,123,100,1,0,0
705,19,19,0,100,0,5627,5777,5538,95.862907,5726,5627,98.271042,5453,4807,88.153313,5356,5257,98.151604,19,0,0
706,1,1,0,100,0,290,312,312,100,309,308,99.676376,298,298,100,299,298,99.66555,1,0,0
707,2,2,0,100,0,519,457,457,100,458,461,100.65502,430,430,100,101,101,100,2,0,0
708,7,7,0,100,0,1763,1847,1838,99.512726,1854,1854,100,1828,1750,95.73304,1821,1807,99.231194,7,0,0
709,1,1,0,100,0,223,208,202,97.115387,201,201,100,196,183,93.367348,196,187,95.408165,1,0,0
710,3,3,0,100,0,956,991,950,95.862762,986,961,97.4645,947,862,91.024284,953,908,95.278069,3,0,0
711,1,1,0,100,0,481,485,485,100,485,485,100,483,483,100,0,0,,1,0,0
713,2,2,0,100,0,596,671,643,95.827126,652,645,98.926384,607,592,97.528831,606,601,99.174919,2,0,0
714,1,1,0,100,0,286,241,241,100,245,245,100,238,238,100,244,244,100,1,0,0
