rev_status_label,time_point,grade,level_group,schools_checked,schools_with_discrepancy
rev_status 0,BoSY,Grade 10,2-level,217,204
rev_status 0,BoSY,Grade 10,3-level,217,209
rev_status 0,BoSY,Grade 7,2-level,217,209
rev_status 0,BoSY,Grade 7,3-level,217,210
rev_status 0,BoSY,Grade 8,2-level,217,208
rev_status 0,BoSY,Grade 8,3-level,217,211
rev_status 0,BoSY,Grade 9,2-level,217,206
rev_status 0,BoSY,Grade 9,3-level,217,211
rev_status 0,EoSY,Grade 10,2-level,217,0
rev_status 0,EoSY,Grade 10,3-level,217,0
rev_status 0,EoSY,Grade 7,2-level,217,0
rev_status 0,EoSY,Grade 7,3-level,217,0
rev_status 0,EoSY,Grade 8,2-level,217,0
rev_status 0,EoSY,Grade 8,3-level,217,0
rev_status 0,EoSY,Grade 9,2-level,217,0
rev_status 0,EoSY,Grade 9,3-level,217,0
rev_status 1,BoSY,Grade 10,2-level,41,39
rev_status 1,BoSY,Grade 10,3-level,41,40
rev_status 1,BoSY,Grade 7,2-level,41,40
rev_status 1,BoSY,Grade 7,3-level,41,41
rev_status 1,BoSY,Grade 8,2-level,41,40
rev_status 1,BoSY,Grade 8,3-level,41,40
rev_status 1,BoSY,Grade 9,2-level,41,40
rev_status 1,BoSY,Grade 9,3-level,41,40
rev_status 1,EoSY,Grade 10,2-level,41,0
rev_status 1,EoSY,Grade 10,3-level,41,0
rev_status 1,EoSY,Grade 7,2-level,41,0
rev_status 1,EoSY,Grade 7,3-level,41,0
rev_status 1,EoSY,Grade 8,2-level,41,0
rev_status 1,EoSY,Grade 8,3-level,41,0
rev_status 1,EoSY,Grade 9,2-level,41,0
rev_status 1,EoSY,Grade 9,3-level,41,0
