time_point,grade,level_group,schools_checked,schools_with_discrepancy
BoSY,Grade 10,2-level,10897,9667
BoSY,Grade 10,3-level,10897,10120
BoSY,Grade 7,2-level,10897,10448
BoSY,Grade 7,3-level,10897,10538
BoSY,Grade 8,2-level,10897,10270
BoSY,Grade 8,3-level,10897,10362
BoSY,Grade 9,2-level,10897,9985
BoSY,Grade 9,3-level,10897,10320
EoSY,Grade 10,2-level,10870,0
EoSY,Grade 10,3-level,10870,0
EoSY,Grade 7,2-level,10870,0
EoSY,Grade 7,3-level,10870,0
EoSY,Grade 8,2-level,10870,0
EoSY,Grade 8,3-level,10870,0
EoSY,Grade 9,2-level,10870,0
EoSY,Grade 9,3-level,10870,0
