rev_status_label,time_point,grade,level_group,reading_category,total_student_count,total_english_assessed,schools_with_data,percent_of_english_assessed,school_year_point
rev_status 0,BoSY,Grade 10,2-level,frustration,7525,59247,217,12.701065032828666,Start of SY
rev_status 0,BoSY,Grade 10,2-level,grade_ready,12191,59247,217,20.576569277769337,Start of SY
rev_status 0,BoSY,Grade 10,2-level,independent,6675,59247,217,11.266393235100512,Start of SY
rev_status 0,BoSY,Grade 10,2-level,instructional,10000,59247,217,16.878491737978294,Start of SY
rev_status 0,BoSY,Grade 10,3-level,frustration,8268,59247,217,13.955136968960455,Start of SY
rev_status 0,BoSY,Grade 10,3-level,grade_ready,12191,59247,217,20.576569277769337,Start of SY
rev_status 0,BoSY,Grade 10,3-level,independent,5778,59247,217,9.752392526203858,Start of SY
rev_status 0,BoSY,Grade 10,3-level,instructional,8810,59247,217,14.869951221158876,Start of SY
rev_status 0,BoSY,Grade 7,2-level,frustration,5812,70953,217,8.191337927924119,Start of SY
rev_status 0,BoSY,Grade 7,2-level,grade_ready,9591,70953,217,13.517398841486617,Start of SY
rev_status 0,BoSY,Grade 7,2-level,independent,11051,70953,217,15.575099009203276,Start of SY
rev_status 0,BoSY,Grade 7,2-level,instructional,9289,70953,217,13.091764971178105,Start of SY
rev_status 0,BoSY,Grade 7,3-level,frustration,12200,70953,217,17.194480853522755,Start of SY
rev_status 0,BoSY,Grade 7,3-level,grade_ready,9591,70953,217,13.517398841486617,Start of SY
rev_status 0,BoSY,Grade 7,3-level,independent,9971,70953,217,14.052964638563557,Start of SY
rev_status 0,BoSY,Grade 7,3-level,instructional,13039,70953,217,18.376953758121573,Start of SY
rev_status 0,BoSY,Grade 8,2-level,frustration,6175,66481,217,9.288368105172907,Start of SY
rev_status 0,BoSY,Grade 8,2-level,grade_ready,8676,66481,217,13.050345211413788,Start of SY
rev_status 0,BoSY,Grade 8,2-level,independent,6916,66481,217,10.402972277793655,Start of SY
rev_status 0,BoSY,Grade 8,2-level,instructional,9753,66481,217,14.670356944089288,Start of SY
rev_status 0,BoSY,Grade 8,3-level,frustration,12869,66481,217,19.357410387930386,Start of SY
rev_status 0,BoSY,Grade 8,3-level,grade_ready,8676,66481,217,13.050345211413788,Start of SY
rev_status 0,BoSY,Grade 8,3-level,independent,9108,66481,217,13.700154931484184,Start of SY
rev_status 0,BoSY,Grade 8,3-level,instructional,12984,66481,217,19.530392142115794,Start of SY
rev_status 0,BoSY,Grade 9,2-level,frustration,7308,54972,217,13.29404060248854,Start of SY
rev_status 0,BoSY,Grade 9,2-level,grade_ready,9381,54972,217,17.06505129884305,Start of SY
rev_status 0,BoSY,Grade 9,2-level,independent,7260,54972,217,13.206723422833443,Start of SY
rev_status 0,BoSY,Grade 9,2-level,instructional,10698,54972,217,19.460816415629775,Start of SY
rev_status 0,BoSY,Grade 9,3-level,frustration,8587,54972,217,15.620679618714982,Start of SY
rev_status 0,BoSY,Grade 9,3-level,grade_ready,9381,54972,217,17.06505129884305,Start of SY
rev_status 0,BoSY,Grade 9,3-level,independent,5006,54972,217,9.10645419486284,Start of SY
rev_status 0,BoSY,Grade 9,3-level,instructional,6732,54972,217,12.246234446627374,Start of SY
rev_status 0,EoSY,Grade 10,2-level,frustration,6045,48128,217,12.560255984042554,End of SY
rev_status 0,EoSY,Grade 10,2-level,grade_ready,24146,48128,217,50.1703789893617,End of SY
rev_status 0,EoSY,Grade 10,2-level,instructional,17937,48128,217,37.26936502659574,End of SY
rev_status 0,EoSY,Grade 10,3-level,frustration,6045,48128,217,12.560255984042554,End of SY
rev_status 0,EoSY,Grade 10,3-level,grade_ready,24146,48128,217,50.1703789893617,End of SY
