row_number_from_source_file,region_code,division_code,municipality_code,full_division_code,full_municipality_code,beis_school_id,implementing_unit,modified_coc,school_type,enroll_g7_m,enroll_g7_f,enroll_g8_m,enroll_g8_f,enroll_g9_m,enroll_g9_f,enroll_g10_m,enroll_g10_f,enroll_sn_ed_ngjhs_m,enroll_sn_ed_ngjhs_f,enroll_total_jhs_m,enroll_total_jhs_f,enroll_total_jhs_all,dropout_rate_g7_m,dropout_rate_g7_f,dropout_rate_g8_m,dropout_rate_g8_f,dropout_rate_g9_m,dropout_rate_g9_f,dropout_rate_g10_m,dropout_rate_g10_f,dropout_rate_sn_ed_ngjhs_m,dropout_rate_sn_ed_ngjhs_f,dropout_rate_total_jhs_m,dropout_rate_total_jhs_f,dropout_rate_total_jhs_all,jhs_instructional_rooms,jhs_classroom_ratio,jhs_seats,jhs_seat_ratio,jhs_toilet,jhs_toilet_ratio,jhs_computer,jhs_computer_ratio,jhs_teacher,jhs_teacher_ratio,cancel_2016,cancel_2017,cancel_2018,cancel_2019,cancel_2020,cancel_2021,cancel_2022,cancel_2023,cancel_total_20162023,cancel_average_20162023,pilot_cancel,pilot_ratio,pilot_shift,randomized_eval_id,rev_status
1457,3,13,2,313,31302,306049,0,2,1,13,9,43,33,30,23,30,24,0,0,116,89,205,0,0,0.1395,0.0909,0.0333,0,0.06670000000000001,0,0,0,0.07760000000000002,0.0337,0.0585,9,23,119,1.73,5.35,38.33,0,0,1,205,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1461,3,13,5,313,31305,501812,0,3,1,23,27,38,50,39,33,34,37,0,0,134,147,281,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35.13,265,1.06,15,18.73,0,0,6,46.83,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1462,3,13,6,313,31306,501168,0,3,1,10,16,13,17,17,8,23,26,0,0,63,67,130,0,0,0,0.058800000000000005,0,0,0,0,0,0,0,0.0149,0.0077,4,32.5,0,0,6,21.67,0,0,3,43.33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1492,3,15,3,315,31503,306951,0,2,1,19,13,20,26,13,23,17,9,0,0,69,71,140,0,0.07690000000000001,0,0.0385,0,0,0,0,0,0,0,0.0282,0.0143,7,20.88,383,0.37,5.87,23.86,33,4.24,2,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1493,3,15,3,315,31503,306952,0,4,1,35,36,49,41,54,39,51,57,0,0,189,173,362,0,0,0,0,0,0,0.0392,0.0175,0,0,0.0106,0.0058000000000000005,0.0083,12,30.17,578,0.63,32,11.31,0,0,7,51.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1494,3,15,4,315,31504,501827,0,1,1,27,17,8,18,16,15,13,11,0,0,64,61,125,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19.130000000000003,325,0.38,36.760000000000005,3.4,23,5.430000000000001,3,41.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1496,3,15,5,315,31505,306950,0,4,1,147,147,157,131,168,148,168,165,0,0,640,591,1231,0.0816,0.034,0.0955,0.0458,0.0476,0.020300000000000002,0.029799999999999997,0.0303,0,0,0.0625,0.032100000000000004,0.0479,19,64.79,1666,0.74,10,123.1,100,12.31,30,41.03,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1553,4,3,5,403,40305,501015,0,3,1,49,34,32,42,38,60,38,35,0,0,157,171,328,0.0816,0,0,0.023799999999999998,0.05260000000000001,0,0.026300000000000004,0.0286,0,0,0.0446,0.011699999999999999,0.0274,9,36.44,0,0,6,54.67,12,27.330000000000002,6,54.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
1755,7,3,1,703,70301,501734,0,3,1,31,14,29,21,39,23,26,27,0,0,125,85,210,0,0,0,0,0.0256,0,0,0,0,0,0.008,0,0.0048000000000000004,1,210,0,0,2,105,0,0,5,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
2212,14,1,1,1401,140101,501342,0,3,1,28,13,12,16,12,24,24,19,0,0,76,72,148,0,0,0,0,0.0833,0,0.0833,0.05260000000000001,0,0,0.0395,0.013900000000000001,0.027,2,74,0,0,2,74,22,6.73,2,74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0,NA,NA
2542,3,7,1,307,30701,300778,0,2,1,151,144,161,149,181,159,156,157,0,0,649,609,1258,0.0066,0.0208,0.0311,0.0134,0.0276,0.0126,0.0192,0.0127,0,0,0.0216,0.0148,0.018300000000000004,21,60.260000000000005,928,1,32,39.68,95,13.242105259999999,45,27.959999999999997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2553,3,7,1,307,30701,306717,0,4,1,90,70,76,76,71,90,94,83,0,0,331,319,650,0.1111,0.0714,0,0.013200000000000002,0.1268,0.022199999999999998,0,0.012,0,0,0.0574,0.0282,0.043100000000000006,12,54.17,528,1,12,54.17,5,130,18,36.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2556,4,18,1,418,41801,500151,0,3,1,5,7,7,5,9,3,2,3,23,26,46,44,90,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.860000000000001,58,2,14,6.430000000000001,0,-999,11,8.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2563,4,17,6,417,41706,301452,0,2,2,457,402,422,415,448,463,456,457,9,9,1792,1746,3538,0.07,0.042300000000000004,0.0237,0.0217,0.0156,0.0194,0.0724,0.041600000000000005,0,0,0.0458,0.0309,0.0384,80,44.230000000000004,-999,1,97,36.47,0,-999,138,25.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2763,7,5,12,705,70512,302989,0,2,3,77,49,102,77,159,132,141,116,0,0,479,374,853,0.1039,0.10200000000000001,0.0098,0.026000000000000002,0.0629,0.0758,0.042600000000000006,0.0172,0,0,0.0522,0.050800000000000005,0.05160000000000001,4,201.67,125,7,0,-999,10,85.3,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
