time_point,grade,level_group,reading_category,total_student_count,total_english_assessed,percent_of_english_assessed
BoSY,Grade 10,2-level,frustration,175144,1484138,11.80105893117756
BoSY,Grade 10,2-level,grade_ready,268044,1484138,18.060584662612236
BoSY,Grade 10,2-level,independent,198952,1484138,13.40522242540788
BoSY,Grade 10,2-level,instructional,237257,1484138,15.986181877965526
BoSY,Grade 10,3-level,frustration,248163,1484138,16.721019204413604
BoSY,Grade 10,3-level,grade_ready,268044,1484138,18.060584662612236
BoSY,Grade 10,3-level,independent,146985,1484138,9.903728629008892
BoSY,Grade 10,3-level,instructional,209593,1484138,14.1222042694143
BoSY,Grade 7,2-level,frustration,181677,1868824,9.721461196988052
BoSY,Grade 7,2-level,grade_ready,225764,1868824,12.080538349250652
BoSY,Grade 7,2-level,independent,243576,1868824,13.033651108932677
BoSY,Grade 7,2-level,instructional,250296,1868824,13.393235532077927
BoSY,Grade 7,3-level,frustration,402920,1868824,21.560082704417322
BoSY,Grade 7,3-level,grade_ready,225764,1868824,12.080538349250652
BoSY,Grade 7,3-level,independent,243574,1868824,13.033544089759122
BoSY,Grade 7,3-level,instructional,321017,1868824,17.177487018574247
BoSY,Grade 8,2-level,frustration,157939,1721801,9.17289512551102
BoSY,Grade 8,2-level,grade_ready,228095,1721801,13.247465880203345
BoSY,Grade 8,2-level,independent,199475,1721801,11.585252883463303
BoSY,Grade 8,2-level,instructional,246630,1721801,14.323954975052285
BoSY,Grade 8,3-level,frustration,348746,1721801,20.254721654825385
BoSY,Grade 8,3-level,grade_ready,228095,1721801,13.247465880203345
BoSY,Grade 8,3-level,independent,229797,1721801,13.346315863447634
BoSY,Grade 8,3-level,instructional,311119,1721801,18.069393617497028
BoSY,Grade 9,2-level,frustration,169569,1390656,12.193454024575452
BoSY,Grade 9,2-level,grade_ready,233371,1390656,16.78136073910442
BoSY,Grade 9,2-level,independent,190352,1390656,13.687928574715817
BoSY,Grade 9,2-level,instructional,236956,1390656,17.039152745179255
BoSY,Grade 9,3-level,frustration,238434,1390656,17.14543352202126
BoSY,Grade 9,3-level,grade_ready,233371,1390656,16.78136073910442
BoSY,Grade 9,3-level,independent,129233,1390656,9.292952390814119
BoSY,Grade 9,3-level,instructional,192741,1390656,13.859718003589673
EoSY,Grade 10,2-level,frustration,185161,1271276,14.56497251580302
EoSY,Grade 10,2-level,grade_ready,623214,1271276,49.022714186376525
EoSY,Grade 10,2-level,instructional,462901,1271276,36.41231329782046
EoSY,Grade 10,3-level,frustration,185161,1271276,14.56497251580302
EoSY,Grade 10,3-level,grade_ready,623214,1271276,49.022714186376525
EoSY,Grade 10,3-level,instructional,462901,1271276,36.41231329782046
EoSY,Grade 7,2-level,frustration,336841,1645187,20.474329058034133
EoSY,Grade 7,2-level,grade_ready,668536,1645187,40.63586692576589
EoSY,Grade 7,2-level,instructional,639810,1645187,38.88980401619998
EoSY,Grade 7,3-level,frustration,336841,1645187,20.474329058034133
EoSY,Grade 7,3-level,grade_ready,668536,1645187,40.63586692576589
EoSY,Grade 7,3-level,instructional,639810,1645187,38.88980401619998
EoSY,Grade 8,2-level,frustration,280881,1511152,18.58721028725105
EoSY,Grade 8,2-level,grade_ready,642878,1511152,42.54224591569875
EoSY,Grade 8,2-level,instructional,587393,1511152,38.870543797050196
EoSY,Grade 8,3-level,frustration,280881,1511152,18.58721028725105
EoSY,Grade 8,3-level,grade_ready,642878,1511152,42.54224591569875
EoSY,Grade 8,3-level,instructional,587393,1511152,38.870543797050196
EoSY,Grade 9,2-level,frustration,201985,1194669,16.907193540637618
EoSY,Grade 9,2-level,grade_ready,538526,1194669,45.077423118872254
EoSY,Grade 9,2-level,instructional,454158,1194669,38.015383340490125
EoSY,Grade 9,3-level,frustration,201985,1194669,16.907193540637618
EoSY,Grade 9,3-level,grade_ready,538526,1194669,45.077423118872254
EoSY,Grade 9,3-level,instructional,454158,1194669,38.015383340490125
