time_point,school_id,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300000,Grade 10,2-level,22,13,-9,TRUE,FALSE
BoSY,300000,Grade 10,3-level,22,9,-13,TRUE,FALSE
BoSY,300000,Grade 7,2-level,32,18,-14,TRUE,FALSE
BoSY,300000,Grade 7,3-level,32,14,-18,TRUE,FALSE
BoSY,300000,Grade 8,2-level,40,25,-15,TRUE,FALSE
BoSY,300000,Grade 8,3-level,40,15,-25,TRUE,FALSE
BoSY,300000,Grade 9,2-level,37,25,-12,TRUE,FALSE
BoSY,300000,Grade 9,3-level,37,12,-25,TRUE,FALSE
BoSY,300001,Grade 10,2-level,29,24,-5,TRUE,FALSE
BoSY,300001,Grade 10,3-level,29,12,-17,TRUE,FALSE
BoSY,300001,Grade 7,2-level,58,29,-29,TRUE,FALSE
BoSY,300001,Grade 7,3-level,58,32,-26,TRUE,FALSE
BoSY,300001,Grade 8,2-level,43,23,-20,TRUE,FALSE
BoSY,300001,Grade 8,3-level,43,22,-21,TRUE,FALSE
BoSY,300001,Grade 9,2-level,37,23,-14,TRUE,FALSE
BoSY,300001,Grade 9,3-level,37,18,-19,TRUE,FALSE
BoSY,300002,Grade 10,2-level,368,180,-188,TRUE,FALSE
BoSY,300002,Grade 10,3-level,368,192,-176,TRUE,FALSE
BoSY,300002,Grade 7,2-level,464,155,-309,TRUE,FALSE
BoSY,300002,Grade 7,3-level,464,312,-152,TRUE,FALSE
BoSY,300002,Grade 8,2-level,433,138,-295,TRUE,FALSE
BoSY,300002,Grade 8,3-level,433,298,-135,TRUE,FALSE
BoSY,300002,Grade 9,2-level,309,148,-161,TRUE,FALSE
BoSY,300002,Grade 9,3-level,309,170,-139,TRUE,FALSE
BoSY,300003,Grade 10,2-level,156,114,-42,TRUE,FALSE
BoSY,300003,Grade 10,3-level,156,77,-79,TRUE,FALSE
BoSY,300003,Grade 7,2-level,205,160,-45,TRUE,FALSE
BoSY,300003,Grade 7,3-level,205,93,-112,TRUE,FALSE
BoSY,300003,Grade 8,2-level,146,88,-58,TRUE,FALSE
BoSY,300003,Grade 8,3-level,146,85,-61,TRUE,FALSE
BoSY,300003,Grade 9,2-level,143,99,-44,TRUE,FALSE
BoSY,300003,Grade 9,3-level,143,89,-54,TRUE,FALSE
BoSY,300004,Grade 10,2-level,80,41,-39,TRUE,FALSE
BoSY,300004,Grade 10,3-level,80,45,-35,TRUE,FALSE
BoSY,300004,Grade 7,2-level,75,30,-45,TRUE,FALSE
BoSY,300004,Grade 7,3-level,75,46,-29,TRUE,FALSE
BoSY,300004,Grade 8,2-level,59,28,-31,TRUE,FALSE
BoSY,300004,Grade 8,3-level,59,37,-22,TRUE,FALSE
BoSY,300004,Grade 9,2-level,61,30,-31,TRUE,FALSE
BoSY,300004,Grade 9,3-level,61,32,-29,TRUE,FALSE
BoSY,300005,Grade 10,2-level,110,30,-80,TRUE,FALSE
BoSY,300005,Grade 10,3-level,110,80,-30,TRUE,FALSE
BoSY,300005,Grade 7,2-level,116,39,-77,TRUE,FALSE
BoSY,300005,Grade 7,3-level,116,77,-39,TRUE,FALSE
BoSY,300005,Grade 8,2-level,106,31,-75,TRUE,FALSE
BoSY,300005,Grade 8,3-level,106,75,-31,TRUE,FALSE
BoSY,300005,Grade 9,2-level,87,38,-49,TRUE,FALSE
BoSY,300005,Grade 9,3-level,87,50,-37,TRUE,FALSE
BoSY,300006,Grade 10,2-level,143,78,-65,TRUE,FALSE
BoSY,300006,Grade 10,3-level,143,84,-59,TRUE,FALSE
BoSY,300006,Grade 7,2-level,190,86,-104,TRUE,FALSE
