rev_status_label,grade,proficiency_group,Start of SY,End of SY,percentage_point_change
control,Grade 10,high proficient,0.03921167484997272,0.9000537345513165,0.8608420597013439
control,Grade 10,low proficient,8.326513911620294,32.93927995701236,24.612766045392064
control,Grade 10,nearly proficient,0.6870567375886525,7.213863514239656,6.526806776651004
control,Grade 10,not proficient,90.8193535188216,57.09296077377754,-33.72639274504406
control,Grade 10,proficient,0.12786415711947627,1.8538420204191295,1.7259778632996532
control,Grade 7,high proficient,0.007126364698839828,1.2221501189703656,1.2150237542715259
control,Grade 7,low proficient,15.250420455517231,29.158555050832792,13.90813459531556
control,Grade 7,nearly proficient,1.8357515464211396,15.736534717715768,13.900783171294629
control,Grade 7,not proficient,82.75134688292808,49.113130002163096,-33.63821688076498
control,Grade 7,proficient,0.15535475043470826,4.7696301103179755,4.614275359883267
control,Grade 8,high proficient,0.00906289650172195,0.8685714285714285,0.8595085320697066
control,Grade 8,low proficient,8.889190985438946,28.96,20.070809014561057
control,Grade 8,nearly proficient,1.7717962660866413,10.868571428571428,9.096775162484787
control,Grade 8,not proficient,89.16379674944112,57.06285714285714,-32.10093960658398
control,Grade 8,proficient,0.1661531025315691,2.24,2.073846897468431
control,Grade 9,high proficient,0.056128915444504796,0.8367033886487241,0.7805744732042192
control,Grade 9,low proficient,5.6165127648017386,27.890112954957466,22.273600190155726
control,Grade 9,nearly proficient,0.47619047619047616,6.442616092595175,5.966425616404699
control,Grade 9,not proficient,93.77874343653811,62.98982010877144,-30.788923327766668
control,Grade 9,proficient,0.07242440702516748,1.840747455027193,1.7683230480020256
treatment,Grade 10,high proficient,0.009163383121048292,0.08643042350907519,0.0772670403880269
treatment,Grade 10,low proficient,16.851461559607806,24.027657735522904,7.1761961759150985
treatment,Grade 10,nearly proficient,2.5474205076514247,7.087294727744166,4.5398742200927416
treatment,Grade 10,not proficient,80.51864748465134,66.98357821953327,-13.535069265118068
treatment,Grade 10,proficient,0.07330706496838633,1.815038893690579,1.7417318287221928
treatment,Grade 7,high proficient,0.05044984444631296,0.9797517962116263,0.9293019517653134
treatment,Grade 7,low proficient,20.970318674850752,31.09079033311561,10.120471658264858
treatment,Grade 7,nearly proficient,2.07685192970655,12.344872632266492,10.268020702559943
treatment,Grade 7,not proficient,76.72580509543428,49.77139124755062,-26.954413847883664
treatment,Grade 7,proficient,0.17657445556209536,5.81319399085565,5.636619535293555
treatment,Grade 8,high proficient,0,1.2546125461254614,1.2546125461254614
treatment,Grade 8,low proficient,15.006891798759476,23.542435424354245,8.53554362559477
treatment,Grade 8,nearly proficient,4.9276361130255,17.047970479704798,12.120334366679298
treatment,Grade 8,not proficient,79.6605789110958,54.760147601476014,-24.900431309619783
treatment,Grade 8,proficient,0.4048931771192281,3.3948339483394836,2.9899407712202555
treatment,Grade 9,high proficient,0.19727756954034326,0,-0.19727756954034326
treatment,Grade 9,low proficient,11.895837443282698,18.543607112616428,6.64776966933373
treatment,Grade 9,nearly proficient,5.267311106727165,7.112616426756985,1.8453053200298202
treatment,Grade 9,not proficient,82.02801341487474,73.41236240474174,-8.615651010132993
treatment,Grade 9,proficient,0.6115604655750642,0.9314140558848434,0.3198535903097792
