rev_status_label,time_point,grade,schools_checked,schools_with_discrepancy
rev_status 0,BoSY,Grade 10,217,0
rev_status 0,BoSY,Grade 7,217,0
rev_status 0,BoSY,Grade 8,217,0
rev_status 0,BoSY,Grade 9,217,0
rev_status 0,EoSY,Grade 10,71,0
rev_status 0,EoSY,Grade 7,71,0
rev_status 0,EoSY,Grade 8,71,0
rev_status 0,EoSY,Grade 9,71,0
rev_status 1,BoSY,Grade 10,41,0
rev_status 1,BoSY,Grade 7,41,0
rev_status 1,BoSY,Grade 8,41,0
rev_status 1,BoSY,Grade 9,41,0
rev_status 1,EoSY,Grade 10,16,0
rev_status 1,EoSY,Grade 7,16,0
rev_status 1,EoSY,Grade 8,16,0
rev_status 1,EoSY,Grade 9,16,0
