rev_status_label,time_point,grade,proficiency_group,total_student_count,total_assessed_count,schools_with_data,percent_of_assessed,school_year_point
rev_status 0,BoSY,Grade 10,high proficient,23,58656,217,0.03921167484997272,Start of SY
rev_status 0,BoSY,Grade 10,low proficient,4884,58656,217,8.326513911620294,Start of SY
rev_status 0,BoSY,Grade 10,nearly proficient,403,58656,217,0.6870567375886525,Start of SY
rev_status 0,BoSY,Grade 10,not proficient,53271,58656,217,90.8193535188216,Start of SY
rev_status 0,BoSY,Grade 10,proficient,75,58656,217,0.12786415711947627,Start of SY
rev_status 0,BoSY,Grade 7,high proficient,5,70162,217,0.007126364698839828,Start of SY
rev_status 0,BoSY,Grade 7,low proficient,10700,70162,217,15.250420455517231,Start of SY
rev_status 0,BoSY,Grade 7,nearly proficient,1288,70162,217,1.8357515464211396,Start of SY
rev_status 0,BoSY,Grade 7,not proficient,58060,70162,217,82.75134688292808,Start of SY
rev_status 0,BoSY,Grade 7,proficient,109,70162,217,0.15535475043470826,Start of SY
rev_status 0,BoSY,Grade 8,high proficient,6,66204,217,0.00906289650172195,Start of SY
rev_status 0,BoSY,Grade 8,low proficient,5885,66204,217,8.889190985438946,Start of SY
rev_status 0,BoSY,Grade 8,nearly proficient,1173,66204,217,1.7717962660866413,Start of SY
rev_status 0,BoSY,Grade 8,not proficient,59030,66204,217,89.16379674944112,Start of SY
rev_status 0,BoSY,Grade 8,proficient,110,66204,217,0.1661531025315691,Start of SY
rev_status 0,BoSY,Grade 9,high proficient,31,55230,217,0.056128915444504796,Start of SY
rev_status 0,BoSY,Grade 9,low proficient,3102,55230,217,5.6165127648017386,Start of SY
rev_status 0,BoSY,Grade 9,nearly proficient,263,55230,217,0.47619047619047616,Start of SY
rev_status 0,BoSY,Grade 9,not proficient,51794,55230,217,93.77874343653811,Start of SY
rev_status 0,BoSY,Grade 9,proficient,40,55230,217,0.07242440702516748,Start of SY
rev_status 0,EoSY,Grade 10,high proficient,67,7444,71,0.9000537345513165,End of SY
rev_status 0,EoSY,Grade 10,low proficient,2452,7444,71,32.93927995701236,End of SY
rev_status 0,EoSY,Grade 10,nearly proficient,537,7444,71,7.213863514239656,End of SY
rev_status 0,EoSY,Grade 10,not proficient,4250,7444,71,57.09296077377754,End of SY
rev_status 0,EoSY,Grade 10,proficient,138,7444,71,1.8538420204191295,End of SY
rev_status 0,EoSY,Grade 7,high proficient,113,9246,71,1.2221501189703656,End of SY
rev_status 0,EoSY,Grade 7,low proficient,2696,9246,71,29.158555050832792,End of SY
rev_status 0,EoSY,Grade 7,nearly proficient,1455,9246,71,15.736534717715768,End of SY
rev_status 0,EoSY,Grade 7,not proficient,4541,9246,71,49.113130002163096,End of SY
rev_status 0,EoSY,Grade 7,proficient,441,9246,71,4.7696301103179755,End of SY
rev_status 0,EoSY,Grade 8,high proficient,76,8750,71,0.8685714285714285,End of SY
rev_status 0,EoSY,Grade 8,low proficient,2534,8750,71,28.96,End of SY
rev_status 0,EoSY,Grade 8,nearly proficient,951,8750,71,10.868571428571428,End of SY
rev_status 0,EoSY,Grade 8,not proficient,4993,8750,71,57.06285714285714,End of SY
rev_status 0,EoSY,Grade 8,proficient,196,8750,71,2.24,End of SY
rev_status 0,EoSY,Grade 9,high proficient,60,7171,71,0.8367033886487241,End of SY
rev_status 0,EoSY,Grade 9,low proficient,2000,7171,71,27.890112954957466,End of SY
rev_status 0,EoSY,Grade 9,nearly proficient,462,7171,71,6.442616092595175,End of SY
rev_status 0,EoSY,Grade 9,not proficient,4517,7171,71,62.98982010877144,End of SY
rev_status 0,EoSY,Grade 9,proficient,132,7171,71,1.840747455027193,End of SY
rev_status 1,BoSY,Grade 10,high proficient,1,10913,41,0.009163383121048292,Start of SY
rev_status 1,BoSY,Grade 10,low proficient,1839,10913,41,16.851461559607806,Start of SY
rev_status 1,BoSY,Grade 10,nearly proficient,278,10913,41,2.5474205076514247,Start of SY
rev_status 1,BoSY,Grade 10,not proficient,8787,10913,41,80.51864748465134,Start of SY
rev_status 1,BoSY,Grade 10,proficient,8,10913,41,0.07330706496838633,Start of SY
rev_status 1,BoSY,Grade 7,high proficient,6,11893,41,0.05044984444631296,Start of SY
rev_status 1,BoSY,Grade 7,low proficient,2494,11893,41,20.970318674850752,Start of SY
rev_status 1,BoSY,Grade 7,nearly proficient,247,11893,41,2.07685192970655,Start of SY
rev_status 1,BoSY,Grade 7,not proficient,9125,11893,41,76.72580509543428,Start of SY
rev_status 1,BoSY,Grade 7,proficient,21,11893,41,0.17657445556209536,Start of SY
rev_status 1,BoSY,Grade 8,high proficient,0,11608,41,0,Start of SY
rev_status 1,BoSY,Grade 8,low proficient,1742,11608,41,15.006891798759476,Start of SY
rev_status 1,BoSY,Grade 8,nearly proficient,572,11608,41,4.9276361130255,Start of SY
rev_status 1,BoSY,Grade 8,not proficient,9247,11608,41,79.6605789110958,Start of SY
rev_status 1,BoSY,Grade 8,proficient,47,11608,41,0.4048931771192281,Start of SY
rev_status 1,BoSY,Grade 9,high proficient,20,10138,41,0.19727756954034326,Start of SY
rev_status 1,BoSY,Grade 9,low proficient,1206,10138,41,11.895837443282698,Start of SY
rev_status 1,BoSY,Grade 9,nearly proficient,534,10138,41,5.267311106727165,Start of SY
rev_status 1,BoSY,Grade 9,not proficient,8316,10138,41,82.02801341487474,Start of SY
rev_status 1,BoSY,Grade 9,proficient,62,10138,41,0.6115604655750642,Start of SY
rev_status 1,EoSY,Grade 10,high proficient,1,1157,16,0.08643042350907519,End of SY
rev_status 1,EoSY,Grade 10,low proficient,278,1157,16,24.027657735522904,End of SY
rev_status 1,EoSY,Grade 10,nearly proficient,82,1157,16,7.087294727744166,End of SY
rev_status 1,EoSY,Grade 10,not proficient,775,1157,16,66.98357821953327,End of SY
rev_status 1,EoSY,Grade 10,proficient,21,1157,16,1.815038893690579,End of SY
rev_status 1,EoSY,Grade 7,high proficient,15,1531,16,0.9797517962116263,End of SY
rev_status 1,EoSY,Grade 7,low proficient,476,1531,16,31.09079033311561,End of SY
rev_status 1,EoSY,Grade 7,nearly proficient,189,1531,16,12.344872632266492,End of SY
rev_status 1,EoSY,Grade 7,not proficient,762,1531,16,49.77139124755062,End of SY
rev_status 1,EoSY,Grade 7,proficient,89,1531,16,5.81319399085565,End of SY
rev_status 1,EoSY,Grade 8,high proficient,17,1355,16,1.2546125461254614,End of SY
rev_status 1,EoSY,Grade 8,low proficient,319,1355,16,23.542435424354245,End of SY
rev_status 1,EoSY,Grade 8,nearly proficient,231,1355,16,17.047970479704798,End of SY
rev_status 1,EoSY,Grade 8,not proficient,742,1355,16,54.760147601476014,End of SY
rev_status 1,EoSY,Grade 8,proficient,46,1355,16,3.3948339483394836,End of SY
rev_status 1,EoSY,Grade 9,high proficient,0,1181,16,0,End of SY
rev_status 1,EoSY,Grade 9,low proficient,219,1181,16,18.543607112616428,End of SY
rev_status 1,EoSY,Grade 9,nearly proficient,84,1181,16,7.112616426756985,End of SY
rev_status 1,EoSY,Grade 9,not proficient,867,1181,16,73.41236240474174,End of SY
rev_status 1,EoSY,Grade 9,proficient,11,1181,16,0.9314140558848434,End of SY
