region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
Region V,Albay,Daraga,502801,Kidaco Integrated Schoool,75,73,0.7123287671232875,0.2465753424657534,0.04109589041095891,0,0,52,18,3,0,0,44,32,11,1,0,0,29,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Albay,Pio Duran,306470,Cuyaoyao National High School,106,106,0.5094339622641508,0.4905660377358491,0,0,0,54,52,0,0,0,38,14,24,0,0,0,33,20,13,0,0,0,35,20,15,0,0,0,0,0,0,0,0,0
Region V,Albay,Polangui,502982,Anopol Integrated School,22,22,0.18181818181818185,0.5454545454545454,0.0909090909090909,0,0.18181818181818185,4,12,2,0,4,22,4,12,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Albay,Polangui,502802,Balangibang Integrated School,35,35,0.02857142857142857,0.2571428571428572,0.5428571428571427,0.1714285714285714,0,1,9,19,6,0,22,0,2,14,6,0,13,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Camarines Norte,Daet (Capital),502910,Daet Integrated School,152,152,0.6052631578947366,0.32894736842105265,0.06578947368421052,0,0,92,50,10,0,0,152,92,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Camarines Norte,Jose Panganiban,502901,Dahican Integrated School,38,38,0.5,0.47368421052631576,0.02631578947368421,0,0,19,18,1,0,0,38,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Camarines Norte,Labo,301894,Labo Science and Technology High School,1013,1010,0.3178217821782178,0.46930693069306934,0.20594059405940596,0.006930693069306932,0,321,474,208,7,0,282,66,15,195,6,0,286,110,171,5,0,0,210,41,164,4,1,0,232,104,124,4,0,0
Region V,Camarines Sur,Buhi,306393,Agapito E. De Lima National High School,184,184,0.6793478260869564,0.3152173913043479,0,0.005434782608695653,0,125,58,0,1,0,42,7,35,0,0,0,46,42,4,0,0,0,42,38,3,0,1,0,54,38,16,0,0,0
Region V,Camarines Sur,Bula,502864,Macalinao Integrated School,72,72,0.5694444444444445,0.43055555555555564,0,0,0,41,31,0,0,0,31,6,25,0,0,0,41,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Camarines Sur,Calabanga,301952,Calabanga National Science High School,1963,1921,0.827693909422176,0.16449765747006773,0.00676730869338886,0.0010411244143675171,0,1590,316,13,2,0,469,318,136,13,2,0,551,488,63,0,0,0,422,383,39,0,0,0,479,401,78,0,0,0
Region V,Camarines Sur,Caramoan,502962,Gata Integrated School,148,148,0.36486486486486497,0.4391891891891893,0.13513513513513517,0.060810810810810814,0,54,65,20,9,0,46,16,21,6,3,0,36,6,22,6,2,0,29,17,7,4,1,0,37,15,15,4,3,0
Region V,Camarines Sur,Caramoan,502963,Lipata Integrated School (Camarines Sur),88,88,1,0,0,0,0,88,0,0,0,0,29,29,0,0,0,0,29,29,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0
Region V,Camarines Sur,Garchitorena,500468,Harrison Integrated School,162,145,0.7448275862068966,0.21379310344827593,0.0413793103448276,0,0,108,31,6,0,0,42,25,13,4,0,0,45,36,7,2,0,0,31,26,5,0,0,0,27,21,6,0,0,0
Region V,Camarines Sur,Goa,502797,Aroro-Abad Integrated School,149,149,0,0.5838926174496646,0.2818791946308725,0.13422818791946314,0,0,87,42,20,0,42,0,28,10,4,0,47,0,29,8,10,0,31,0,15,13,3,0,29,0,15,11,3,0
Region V,Camarines Sur,Goa,305545,Goa Science High School,277,272,0.29044117647058826,0.17279411764705885,0.5147058823529411,0.022058823529411763,0,79,47,140,6,0,64,0,0,60,4,0,69,9,47,12,1,0,70,70,0,0,0,0,69,0,0,68,1,0
Region V,Camarines Sur,Goa,306376,Rosita Narvaez-Saavedra National High School,101,101,0.6732673267326731,0.2673267326732674,0.0594059405940594,0,0,68,27,6,0,0,36,18,12,6,0,0,25,18,7,0,0,0,24,21,3,0,0,0,16,11,5,0,0,0
Region V,Camarines Sur,Lagonoy,306459,Bocogan Bay National High School,115,107,0.5140186915887851,0.3644859813084113,0.12149532710280374,0,0,55,39,13,0,0,33,12,13,8,0,0,29,14,13,2,0,0,36,24,9,3,0,0,9,5,4,0,0,0
Region V,Camarines Sur,Lagonoy,306527,Sipaco National High School,116,114,1,0,0,0,0,114,0,0,0,0,28,28,0,0,0,0,33,33,0,0,0,0,37,37,0,0,0,0,16,16,0,0,0,0
Region V,Camarines Sur,Libmanan,502887,San Pablo Integated School,136,136,1,0,0,0,0,136,0,0,0,0,42,42,0,0,0,0,32,32,0,0,0,0,29,29,0,0,0,0,33,33,0,0,0,0
Region V,Camarines Sur,Pasacao,500158,Antipolo Heights Integrated School,90,88,0.9318181818181818,0.06818181818181818,0,0,0,82,6,0,0,0,25,22,3,0,0,0,25,22,3,0,0,0,16,16,0,0,0,0,22,22,0,0,0,0
Region V,Camarines Sur,Pili,309773,Computer Science High School of Bicolandia,498,482,0.4066390041493776,0.5414937759336098,0.041493775933609964,0.01037344398340249,0,196,261,20,5,0,132,66,54,11,1,0,115,59,50,6,0,0,129,41,84,2,2,0,106,30,73,1,2,0
Region V,Camarines Sur,Ragay,309751,Ragay Science and Math Oriented High School,162,162,0.2962962962962963,0.5987654320987655,0.09876543209876543,0.006172839506172838,0,48,97,16,1,0,48,7,32,9,0,0,55,14,36,5,0,0,42,21,19,1,1,0,17,6,10,1,0,0
Region V,Camarines Sur,Sipocot,502799,Aldezar Sipocot Integrated School,72,72,0.7083333333333334,0.27777777777777785,0.01388888888888889,0,0,51,20,1,0,0,22,9,12,1,0,0,21,15,6,0,0,0,15,14,1,0,0,0,14,13,1,0,0,0
Region V,Camarines Sur,Sipocot,502964,Tigman Sipocot Integrated School,69,69,0.7101449275362318,0.21739130434782614,0.07246376811594203,0,0,49,15,5,0,0,31,11,15,5,0,0,18,18,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Region V,Camarines Sur,Siruma,503064,Butawanan Integrated School,80,80,0.7625,0.23750000000000002,0,0,0,61,19,0,0,0,41,22,19,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Catanduanes,Bagamanoc,302072,Bagamanoc Rural DHS,506,501,0.6447105788423153,0.3532934131736527,0.0019960079840319355,0,0,323,177,1,0,0,131,46,85,0,0,0,145,90,54,1,0,0,116,102,14,0,0,0,109,85,24,0,0,0
Region V,Catanduanes,Bagamanoc,302076,Bugao National High School,157,129,0.8527131782945737,0.13953488372093026,0.007751937984496124,0,0,110,18,1,0,0,37,24,12,1,0,0,31,26,5,0,0,0,31,31,0,0,0,0,30,29,1,0,0,0
Region V,Catanduanes,Bagamanoc,302100,San Vicente National High School,178,177,0.022598870056497175,0.5423728813559321,0.4124293785310734,0.022598870056497175,0,4,96,73,4,0,50,4,26,16,4,0,59,0,23,36,0,0,35,0,25,10,0,0,33,0,22,11,0,0
Region V,Catanduanes,Baras,302070,Agban NHS,223,223,0.5291479820627802,0.358744394618834,0.09417040358744394,0.0179372197309417,0,118,80,21,4,0,67,32,22,10,3,0,54,17,26,11,0,0,58,43,15,0,0,0,44,26,17,0,1,0
Region V,Catanduanes,Baras,302073,Baras Rural Development High School,638,635,0.6614173228346454,0.3133858267716536,0.01889763779527559,0.004724409448818897,0.0015748031496062994,420,199,12,3,1,140,77,60,3,0,0,147,82,63,2,0,0,158,116,42,0,0,0,190,145,34,7,3,1
Region V,Catanduanes,Bato,302074,Bato Rural Development High School,1095,1041,0.4111431316042267,0.3659942363112392,0.1681075888568684,0.04322766570605188,0.011527377521613829,428,381,175,45,12,280,85,164,27,4,0,287,141,83,45,13,5,249,145,58,41,5,0,225,57,76,62,23,7
Region V,Catanduanes,Bato,500412,Bote IS,152,150,0.3266666666666667,0.33999999999999997,0.24000000000000002,0.09333333333333334,0,49,51,36,14,0,41,2,13,18,8,0,36,0,13,17,6,0,35,27,8,0,0,0,38,20,17,1,0,0
Region V,Catanduanes,Bato,500032,Cabugao IS,413,384,0.234375,0.2994791666666668,0.37239583333333326,0.07552083333333334,0.018229166666666664,90,115,143,29,7,83,2,42,39,0,0,122,2,35,79,6,0,84,79,5,0,0,0,95,7,33,25,23,7
Region V,Catanduanes,Caramoran,302081,Caramoran Rural Development High School,543,543,0.13627992633517497,0.39042357274401485,0.3093922651933702,0.1141804788213628,0.049723756906077346,74,212,168,62,27,132,0,1,64,43,24,143,28,61,52,1,1,142,24,51,47,18,2,126,22,99,5,0,0
Region V,Catanduanes,Caramoran,302082,Caramoran School of Fisheries,391,328,0.9268292682926831,0.07012195121951222,0.003048780487804878,0,0,304,23,1,0,0,101,86,14,1,0,0,86,79,7,0,0,0,61,61,0,0,0,0,80,78,2,0,0,0
Region V,Catanduanes,Caramoran,302086,Dariao NHS,198,198,0.3939393939393939,0.4595959595959596,0.14646464646464646,0,0,78,91,29,0,0,51,1,37,13,0,0,59,15,34,10,0,0,39,24,12,3,0,0,49,38,8,3,0,0
Region V,Catanduanes,Caramoran,500415,Milaviga Integrated School,159,158,0.28481012658227856,0.5632911392405064,0.15189873417721525,0,0,45,89,24,0,0,50,9,30,11,0,0,42,7,22,13,0,0,40,18,22,0,0,0,26,11,15,0,0,0
Region V,Catanduanes,Caramoran,502808,Obi Integrated School,96,96,0.11458333333333333,0.53125,0.22916666666666666,0.125,0,11,51,22,12,0,41,5,23,8,5,0,26,0,16,7,3,0,29,6,12,7,4,0,0,0,0,0,0,0
Region V,Catanduanes,Caramoran,302102,Supang-Datag National High School,502,501,0.812375249500998,0.1636726546906187,0.02395209580838324,0,0,407,82,12,0,0,133,93,32,8,0,0,164,131,30,3,0,0,108,101,6,1,0,0,96,82,14,0,0,0
Region V,Catanduanes,Caramoran,302106,Tubli National High School,747,718,0.8245125348189414,0.1337047353760446,0.04178272980501393,0,0,592,96,30,0,0,210,150,32,28,0,0,184,161,23,0,0,0,161,123,38,0,0,0,163,158,3,2,0,0
Region V,Catanduanes,Caramoran,502809,Tucao-Maysuram Integrated School,63,63,0.9365079365079365,0.06349206349206347,0,0,0,59,4,0,0,0,30,27,3,0,0,0,33,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Catanduanes,Gigmoto,302087,Dororian NHS,124,124,0.16935483870967738,0.6774193548387094,0.1532258064516129,0,0,21,84,19,0,0,48,4,31,13,0,0,29,7,20,2,0,0,19,4,12,3,0,0,28,6,21,1,0,0
Region V,Catanduanes,Gigmoto,302088,Gigmoto Rural DHS,555,554,0.6967509025270758,0.3032490974729241,0,0,0,386,168,0,0,0,160,131,29,0,0,0,163,107,56,0,0,0,121,71,50,0,0,0,110,77,33,0,0,0
Region V,Catanduanes,Gigmoto,500033,Sicmil Integrated School,83,83,0.9277108433734942,0.02409638554216868,0.04819277108433735,0,0,77,2,4,0,0,19,17,1,1,0,0,18,16,0,2,0,0,18,17,1,0,0,0,28,27,0,1,0,0
Region V,Catanduanes,Pandan,502496,Baldoc Integrated School,53,52,0,0,0.8653846153846155,0.09615384615384615,0.038461538461538464,0,0,45,5,2,23,0,0,20,3,0,20,0,0,19,1,0,9,0,0,6,1,2,0,0,0,0,0,0
Region V,Catanduanes,Pandan,500159,Cobo Integrated School,174,170,0.2882352941176471,0.5823529411764704,0.09411764705882353,0.03529411764705882,0,49,99,16,6,0,50,18,31,1,0,0,44,1,25,12,6,0,38,29,9,0,0,0,38,1,34,3,0,0
Region V,Catanduanes,Pandan,302103,Leandro I. Verceles Sr. NHS,520,508,0.5905511811023619,0.3838582677165354,0.023622047244094484,0.001968503937007874,0,300,195,12,1,0,171,77,90,4,0,0,129,122,7,0,0,0,103,96,7,0,0,0,105,5,91,8,1,0
Region V,Catanduanes,Pandan,302094,Pandan SAT,1145,1130,0.8690265486725663,0.13097345132743368,0,0,0,982,148,0,0,0,290,272,18,0,0,0,335,238,97,0,0,0,217,210,7,0,0,0,288,262,26,0,0,0
Region V,Catanduanes,Pandan,502937,San Isidro Integrated School (Pandan East),42,41,0.3414634146341463,0.6585365853658535,0,0,0,14,27,0,0,0,10,5,5,0,0,0,13,1,12,0,0,0,7,3,4,0,0,0,11,5,6,0,0,0
Region V,Catanduanes,Panganiban,302095,Panganiban National High School,204,182,0.3076923076923077,0.6703296703296704,0.021978021978021983,0,0,56,122,4,0,0,46,17,27,2,0,0,50,19,29,2,0,0,41,7,34,0,0,0,45,13,32,0,0,0
Region V,Catanduanes,Panganiban,309801,"Panganiban National High School, CAIC Compound (Panganiban)",501,495,0.47676767676767684,0.5232323232323232,0,0,0,236,259,0,0,0,136,70,66,0,0,0,137,73,64,0,0,0,118,57,61,0,0,0,104,36,68,0,0,0
Region V,Catanduanes,San Andres,302078,Cabcab NHS,348,347,0.1930835734870317,0.2708933717579251,0.19020172910662825,0.2853025936599425,0.060518731988472615,67,94,66,99,21,114,18,53,21,22,0,81,0,0,1,59,21,75,0,21,36,18,0,77,49,20,8,0,0
Region V,Catanduanes,San Andres,302085,Codon National High School,137,137,0.4306569343065693,0.5547445255474452,0.014598540145985403,0,0,59,76,2,0,0,35,17,17,1,0,0,41,27,13,1,0,0,36,12,24,0,0,0,25,3,22,0,0,0
Region V,Catanduanes,San Andres,500160,Lictin IS,206,206,0.8252427184466019,0.16504854368932043,0.009708737864077666,0,0,170,34,2,0,0,61,37,22,2,0,0,47,43,4,0,0,0,55,51,4,0,0,0,43,39,4,0,0,0
Region V,Catanduanes,San Andres,302091,Manambrag NHS,360,360,0.6416666666666666,0.2861111111111111,0.07222222222222224,0,0,231,103,26,0,0,102,12,64,26,0,0,101,81,20,0,0,0,78,77,1,0,0,0,79,61,18,0,0,0
Region V,Catanduanes,San Andres,302092,Mayngaway NHS,374,374,0.6604278074866309,0.3128342245989304,0.02673796791443851,0,0,247,117,10,0,0,103,96,7,0,0,0,93,44,39,10,0,0,90,75,15,0,0,0,88,32,56,0,0,0
Region V,Catanduanes,San Andres,302096,San Andres Vocational School,1334,1300,0.6676923076923076,0.2746153846153846,0.053076923076923084,0.0038461538461538464,7.692307692307691e-4,868,357,69,5,1,341,218,107,15,0,1,366,162,145,54,5,0,256,223,33,0,0,0,337,265,72,0,0,0
Region V,Catanduanes,San Miguel,302099,Mabato National High School,186,186,0.6559139784946235,0.3333333333333332,0.01075268817204301,0,0,122,62,2,0,0,51,37,12,2,0,0,46,19,27,0,0,0,47,26,21,0,0,0,42,40,2,0,0,0
Region V,Catanduanes,San Miguel,502056,Pagsangahan Integrated School,113,112,0,0.5178571428571428,0.34821428571428575,0.1339285714285714,0,0,58,39,15,0,32,0,14,11,7,0,40,0,18,19,3,0,21,0,13,6,2,0,19,0,13,3,3,0
Region V,Catanduanes,San Miguel,302098,San Miguel Rural DHS,767,726,0.6019283746556474,0.31680440771349866,0.06749311294765842,0.012396694214876033,0.0013774104683195593,437,230,49,9,1,220,97,73,41,8,1,171,107,55,8,1,0,152,88,64,0,0,0,183,145,38,0,0,0
Region V,Catanduanes,Viga,302097,San Jose NHS,381,377,0.5172413793103449,0.480106100795756,0.0026525198938992037,0,0,195,181,1,0,0,112,82,29,1,0,0,119,76,43,0,0,0,72,14,58,0,0,0,74,23,51,0,0,0
Region V,Catanduanes,Viga,302104,Tambogñon NHS,329,329,0.723404255319149,0.2735562310030395,0.00303951367781155,0,0,238,90,1,0,0,101,53,47,1,0,0,99,64,35,0,0,0,63,62,1,0,0,0,66,59,7,0,0,0
Region V,Catanduanes,Viga,302105,Tinago NHS,141,134,0.4104477611940299,0.21641791044776126,0.3432835820895523,0.029850746268656716,0,55,29,46,4,0,42,6,25,11,0,0,43,4,0,35,4,0,21,21,0,0,0,0,28,24,4,0,0,0
Region V,Catanduanes,Viga,302107,Viga Rural DHS,936,920,0.3206521739130435,0.49456521739130427,0.13369565217391305,0.04239130434782609,0.008695652173913044,295,455,123,39,8,258,27,125,83,19,4,265,135,84,32,13,1,216,106,96,5,6,3,181,27,150,3,1,0
Region V,Catanduanes,Virac,302071,Antipolo NHS,236,227,0.7180616740088106,0.22026431718061673,0.06167400881057269,0,0,163,50,14,0,0,65,19,33,13,0,0,58,43,14,1,0,0,48,45,3,0,0,0,56,56,0,0,0,0
Region V,Catanduanes,Virac,500031,Buyo Integrated School,435,419,0.8496420047732697,0.12649164677804295,0.023866348448687343,0,0,356,53,10,0,0,144,117,26,1,0,0,105,96,7,2,0,0,82,76,6,0,0,0,88,67,14,7,0,0
Region V,Catanduanes,Virac,302084,Calatagan High School,981,934,0.588865096359743,0.2430406852248394,0.14132762312633834,0.026766595289079233,0,550,227,132,25,0,282,104,43,113,22,0,272,173,77,19,3,0,188,145,43,0,0,0,192,128,64,0,0,0
Region V,Catanduanes,Virac,302089,Hawan National High School,175,168,0.36904761904761907,0.5059523809523807,0.125,0,0,62,85,21,0,0,58,15,29,14,0,0,54,26,23,5,0,0,17,11,6,0,0,0,39,10,27,2,0,0
Region V,Catanduanes,Virac,302090,Magnesia National High School,218,218,0.9311926605504587,0.06422018348623858,0.004587155963302753,0,0,203,14,1,0,0,72,60,11,1,0,0,60,57,3,0,0,0,37,37,0,0,0,0,49,49,0,0,0,0
Region V,Catanduanes,Virac,302093,Palta NHS,362,359,0.35097493036211697,0.5933147632311977,0.055710306406685235,0,0,126,213,20,0,0,115,31,72,12,0,0,82,30,44,8,0,0,77,29,48,0,0,0,85,36,49,0,0,0
Region V,Catanduanes,Virac (Capital),502936,Dugui San Isidro Integrated School,53,53,0,0.849056603773585,0.15094339622641517,0,0,0,45,8,0,0,33,0,29,4,0,0,20,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Iriga City,City of Iriga,502731,Don Lazaro Madara Memorial Integrated School,39,39,0,0,0.4102564102564103,0.5384615384615384,0.05128205128205129,0,0,16,21,2,10,0,0,0,9,1,29,0,0,16,12,1,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Iriga City,City of Iriga,500166,Iriga City Division Integrated Special School (SPED),20,20,0.75,0.15000000000000002,0.1,0,0,15,3,2,0,0,3,0,1,2,0,0,2,0,2,0,0,0,6,6,0,0,0,0,9,9,0,0,0,0
Region V,Iriga City,City of Iriga,306334,Iriga City Science High School,147,147,0,0.02040816326530612,0.7823129251700677,0.17006802721088435,0.027210884353741492,0,3,115,25,4,69,0,3,48,14,4,78,0,0,67,11,0,0,0,0,0,0,0,0,0,0,0,0,0
