row_number_from_source_file,region_code,division_code,municipality_code,full_division_code,full_municipality_code,beis_school_id,implementing_unit,modified_coc,school_type,enroll_g7_m,enroll_g7_f,enroll_g8_m,enroll_g8_f,enroll_g9_m,enroll_g9_f,enroll_g10_m,enroll_g10_f,enroll_sn_ed_ngjhs_m,enroll_sn_ed_ngjhs_f,enroll_total_jhs_m,enroll_total_jhs_f,enroll_total_jhs_all,dropout_rate_g7_m,dropout_rate_g7_f,dropout_rate_g8_m,dropout_rate_g8_f,dropout_rate_g9_m,dropout_rate_g9_f,dropout_rate_g10_m,dropout_rate_g10_f,dropout_rate_sn_ed_ngjhs_m,dropout_rate_sn_ed_ngjhs_f,dropout_rate_total_jhs_m,dropout_rate_total_jhs_f,dropout_rate_total_jhs_all,jhs_instructional_rooms,jhs_classroom_ratio,jhs_seats,jhs_seat_ratio,jhs_toilet,jhs_toilet_ratio,jhs_computer,jhs_computer_ratio,jhs_teacher,jhs_teacher_ratio,cancel_2016,cancel_2017,cancel_2018,cancel_2019,cancel_2020,cancel_2021,cancel_2022,cancel_2023,cancel_total_20162023,cancel_average_20162023,pilot_cancel,pilot_ratio,pilot_shift,randomized_eval_id,rev_status
1,14,2,1,1402,140201,502170,0,1,1,6,9,14,10,6,6,12,11,0,0,38,36,74,0,0,0,0,0,0.16670000000000001,0,0,0,0,0,0.0278,0.013500000000000002,11,6.73,54,1,7,10.57,40,1.85,3,24.67,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
2,14,2,4,1402,140204,501753,0,1,1,13,15,17,19,13,12,9,18,0,0,52,64,116,0.3077,0,0.058800000000000005,0,0.07690000000000001,0,0,0,0,0,0.1154,0,0.0517,6,19.330000000000002,105,1,6,19.330000000000002,49,2.3673469389999995,6,19.330000000000002,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
3,14,2,4,1402,140204,501757,0,1,1,10,8,7,13,9,6,9,11,0,0,35,38,73,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.5,286,0,5,15,17,4.294117646999998,6,12.17,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
4,14,2,4,1402,140204,501759,0,1,1,19,13,23,17,24,12,15,11,0,0,81,53,134,0.05260000000000001,0,0.13040000000000002,0,0.0417,0,0,0,0,0,0.0617,0,0.0373,11,12.229999999999999,97,1,10,13.25,0,-999,6,22.330000000000002,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
5,14,2,6,1402,140206,502174,0,1,1,16,17,15,19,11,20,15,15,0,0,57,71,128,0,0,0,0,0,0,0.06670000000000001,0.06670000000000001,0,0,0.0175,0.0141,0.0156,8,16.6,103,1,5,27.67,41,3.12195122,1,128,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
6,14,2,7,1402,140207,501203,0,1,1,17,12,18,22,19,16,13,17,0,0,67,67,134,0.058800000000000005,0.0833,0.1111,0.0909,0.1053,0,0,0,0,0,0.07460000000000001,0.0448,0.0597,2,68,27,5,0,-999,80,1.675,8,16.75,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
7,14,2,7,1402,140207,502172,0,1,1,27,18,22,16,27,26,27,30,0,0,103,90,193,0.037,0,0,0,0,0,0,0,0,0,0.009699999999999999,0,0.0052,8,25.36,181,1,4,46.5,93,2.0752688169999995,2,96.5,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
8,14,2,8,1402,140208,501810,0,1,1,3,5,11,12,7,6,4,13,0,0,25,36,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,77,1,1,90,14,4.357142856999999,10,6.1,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
9,14,2,5,1402,140205,305126,0,2,1,41,35,39,51,44,39,48,48,0,0,172,173,345,0.0488,0,0.10260000000000001,0,0.06820000000000001,0.0256,0.0417,0,0,0,0.064,0.0058000000000000005,0.034800000000000005,6,56.92,162,2,3,113.83,0,-999,17,20.29,3,1,2,8,2,2,9,12,39,5,1,0,1,NA,NA
10,14,2,1,1402,140201,502619,0,3,1,20,11,0,0,0,0,0,0,0,0,20,11,31,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.129,10,3.1,195,0,12,2.58,0,-999,3,10.33,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
11,14,2,2,1402,140202,501809,0,3,1,13,5,13,9,16,9,16,7,0,0,58,30,88,0,0,0,0,0.0625,0,0.0625,0,0,0,0.0345,0,0.022699999999999998,11,8,146,1,9,9.78,0,-999,3,29.330000000000002,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
12,14,2,2,1402,140202,502621,0,3,1,5,3,7,2,4,6,0,0,0,0,16,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,35,1,0,-999,0,-999,2,13.5,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
13,14,2,3,1402,140203,501760,0,3,1,11,2,4,4,3,2,4,5,0,0,22,13,35,0.0909,0,0,0,0.3333,0,0,0,0,0,0.0909,0,0.057100000000000005,11,3.18,40,1,8,4.38,2,17.5,5,7,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
14,14,2,4,1402,140204,501301,0,3,1,13,15,20,13,9,11,8,7,0,0,50,46,96,0.2308,0,0.05,0,0.1111,0,0,0,0,0,0.1,0,0.05210000000000001,8,12,86,1,5,19.2,1,96,6,16,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
15,14,2,4,1402,140204,502177,0,3,1,16,10,16,8,14,8,4,6,0,0,50,32,82,0.125,0,0.0625,0.125,0.0714,0.125,0,0,0,0,0.08,0.0625,0.07320000000000002,9,9.11,130,1,5,16.4,4,20.5,3,27.330000000000002,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
16,14,2,5,1402,140205,502176,0,3,1,11,16,21,14,20,15,14,9,0,0,66,54,120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,150,1,10,12,45,2.666666667,1,120,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
17,14,2,5,1402,140205,502316,0,3,1,20,15,16,11,28,17,16,8,0,0,80,51,131,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13.1,200,1,13,10.08,5,26.2,2,65.5,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
18,14,2,5,1402,140205,502175,0,3,1,16,16,19,17,14,15,15,21,0,0,64,69,133,0,0,0.05260000000000001,0,0,0,0,0,0,0,0.0156,0,0.0075,14,9.5,29,5,14,9.5,1,133,8,16.630000000000003,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
19,14,2,5,1402,140205,502315,0,3,1,26,36,52,37,0,0,0,0,0,0,78,73,151,0.0385,0.0278,0.07690000000000001,0,0,0,0,0,0,0,0.0641,0.0137,0.0397,5,30.2,539,0,32,4.72,0,-999,1,151,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
20,14,2,6,1402,140206,502173,0,3,1,16,15,18,11,13,7,0,0,0,0,47,33,80,0.0625,0,0.1111,0,0,0,0,0,0,0,0.0638,0,0.0375,13,6.1499999999999995,278,0,21,3.8099999999999996,2,40,1,80,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
21,14,2,6,1402,140206,502622,0,3,1,10,12,13,7,0,0,0,0,0,0,23,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.63,264,0,23,1.83,0,-999,1,42,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
22,14,2,7,1402,140207,502623,0,3,1,5,5,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.11,17,1,7,1.43,0,-999,2,5,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
23,14,2,8,1402,140208,501761,0,3,1,14,15,17,18,13,19,12,22,0,0,56,74,130,0,0,0.058800000000000005,0,0.15380000000000002,0.05260000000000001,0,0.0909,0,0,0.05360000000000001,0.0405,0.0462,15,8.67,26,5,14,9.29,18,7.222222222,7,18.57,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
24,14,2,8,1402,140208,502169,0,3,1,4,6,2,2,9,6,0,0,0,0,15,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.63,-999,0,4,7.25,0,-999,1,29,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
25,14,2,8,1402,140208,502171,0,3,1,6,9,5,9,4,10,4,5,0,0,19,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.78,41,1,0,-999,1,52,1,52,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
26,14,2,10,1402,140210,502168,0,3,1,5,14,11,12,23,11,7,8,0,0,46,45,91,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.17,138,1,8,11.38,0,-999,1,91,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
27,14,2,10,1402,140210,502314,0,3,1,3,3,9,2,0,0,0,0,0,0,12,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.25,114,0,3,5.67,0,-999,1,17,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
28,14,2,11,1402,140211,502618,0,3,1,5,6,4,6,9,6,8,5,0,0,26,23,49,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.5,487,0,28,1.75,4,12.25,4,12.25,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
29,14,2,12,1402,140212,501758,0,3,1,2,5,5,8,1,1,4,7,0,0,12,21,33,0,0,0.2,0,0,0,0,0,0,0,0.0833,0,0.0303,9,3.67,118,0,11,3,0,-999,7,4.71,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
30,14,2,12,1402,140212,501951,0,3,1,14,9,14,18,23,4,12,6,0,0,63,37,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7.6899999999999995,177,1,14,7.14,0,-999,1,100,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
31,14,2,12,1402,140212,502340,0,3,1,5,4,3,4,6,4,0,0,0,0,14,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.71,54,0,11,2.36,10,2.6,1,26,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
32,14,2,1,1402,140201,305129,1,2,1,15,16,20,17,22,22,32,26,0,0,89,81,170,0.06670000000000001,0,0,0,0.0455,0.0455,0,0,0,0,0.0225,0.0123,0.0176,10,17.12,182,1,9,18.19,105,1.619047619,21,8.1,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
33,14,2,1,1402,140201,305130,0,2,1,48,38,43,50,45,51,38,57,0,0,174,196,370,0.0208,0.05260000000000001,0.0233,0.04,0.022199999999999998,0,0,0.0175,0,0,0.0172,0.025500000000000002,0.0216,14,25.58,442,1,5,69.43,136,2.720588235,13,28.459999999999997,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
34,14,2,2,1402,140202,305128,0,2,2,27,11,17,18,15,18,18,18,0,0,77,65,142,0.07410000000000001,0.0909,0.058800000000000005,0,0.1333,0,0,0,0,0,0.0649,0.015399999999999999,0.042300000000000004,8,17.58,101,1,10,14.07,156,0.91025641,20,7.1,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
35,14,2,2,1402,140202,305131,0,2,1,17,10,28,8,15,16,15,13,0,0,75,47,122,0.058800000000000005,0,0.0714,0,0,0.0625,0,0.07690000000000001,0,0,0.04,0.042600000000000006,0.041,6,19.22,159,1,5,24.71,154,0.7922077919999999,14,8.709999999999999,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
36,14,2,2,1402,140202,318911,0,2,1,8,14,13,17,18,14,12,20,0,0,51,65,116,0,0,0.07690000000000001,0,0.1111,0,0,0,0,0,0.058800000000000005,0,0.025900000000000003,4,33,137,1,2,55,0,-999,1,116,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
37,14,2,2,1402,140202,318913,0,2,1,13,15,19,13,15,27,12,20,0,0,59,75,134,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24.38,137,1,8,17.73,85,1.576470588,8,16.75,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
38,14,2,3,1402,140203,305135,1,2,1,39,21,28,31,26,41,35,35,0,0,128,128,256,0.10260000000000001,0,0.035699999999999996,0.0323,0.0385,0.0244,0.0286,0.0286,0,0,0.054700000000000006,0.0234,0.0391,17,14.719999999999999,143,2,17,15.25,45,5.688888888999999,26,9.850000000000001,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
39,14,2,3,1402,140203,305163,0,2,1,18,22,23,26,21,24,23,29,0,0,85,101,186,0.055600000000000004,0,0.13040000000000002,0.0385,0,0,0,0,0,0,0.0471,0.009899999999999999,0.026900000000000004,6,30.110000000000003,206,1,12,15.06,108,1.7222222219999999,1,186,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
40,14,2,3,1402,140203,305956,0,2,1,34,29,42,46,48,39,40,48,0,0,164,162,326,0.20590000000000003,0,0.0714,0,0.0417,0,0.05,0,0,0,0.0854,0,0.0429,6,56.33,350,1,3,101.4,60,5.433333333000001,2,163,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
41,14,2,3,1402,140203,318901,0,2,1,16,11,9,19,22,24,25,26,0,0,72,80,152,0,0.0909,0.2222,0,0.13640000000000002,0.0417,0.04,0,0,0,0.0833,0.025,0.05260000000000001,9,17.130000000000003,189,1,15,10.28,37,4.108108108,13,11.69,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
42,14,2,4,1402,140204,305136,1,2,1,28,21,25,24,37,33,27,37,0,0,117,115,232,0,0,0,0,0,0.0606,0,0,0,0,0,0.017400000000000002,0.0086,7,32.4,215,1,4,54,81,2.8641975310000003,14,16.57,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
43,14,2,4,1402,140204,305137,0,2,1,44,21,35,45,41,47,31,51,0,0,151,164,315,0.0455,0,0,0,0,0.042600000000000006,0.0645,0.0196,0,0,0.026500000000000003,0.018300000000000004,0.022199999999999998,9,33.25,189,2,11,28.5,27,11.666666670000001,13,24.23,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
44,14,2,4,1402,140204,305138,1,2,1,106,115,138,119,137,144,114,126,0,0,495,504,999,0.14150000000000001,0.0261,0.043500000000000004,0.0168,0.0803,0.0417,0.026300000000000004,0.0159,0,0,0.07070000000000001,0.0258,0.048,11,95.06,275,4,4,285.17,184,5.429347826,46,21.72,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
45,14,2,4,1402,140204,305158,0,2,2,40,36,39,37,49,24,41,39,0,0,169,136,305,0.025,0.0278,0.10260000000000001,0.027,0.0408,0.0417,0.0244,0,0,0,0.0473,0.022099999999999998,0.0361,8,37.5,203,2,6,50,7,43.571428569999995,25,12.2,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
46,14,2,4,1402,140204,318902,0,2,1,40,51,67,56,57,60,60,54,1,0,225,221,446,0.025,0,0.0299,0,0.05260000000000001,0.0167,0.0333,0.018500000000000003,0,0,0.0356,0.009,0.0224,10,46.5,209,2,14,31,40,11.15,21,21.24,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
47,14,2,4,1402,140204,318912,0,2,2,32,28,31,45,37,37,32,40,0,0,132,150,282,0,0,0.1935,0,0.05410000000000001,0.05410000000000001,0.125,0,0,0,0.0909,0.013300000000000001,0.049600000000000005,6,48.25,107,3,4,77.2,0,-999,0,-999,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
48,14,2,5,1402,140205,305125,1,2,1,121,118,106,118,150,109,93,144,0,0,470,489,959,0.0165,0.0085,0.0472,0,0.0267,0.0092,0.021500000000000002,0,0,0,0.0277,0.0041,0.0156,19,50.39,500,2,25,38.6,115,8.339130435000001,35,27.4,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
49,14,2,5,1402,140205,305127,0,2,1,28,25,29,33,34,45,33,37,0,0,124,140,264,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34.08,124,2,8,31.64,84,3.1428571429999996,17,15.53,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
50,14,2,5,1402,140205,305134,0,2,1,6,6,14,18,11,16,17,15,0,0,48,55,103,0,0,0.0714,0,0,0,0,0.06670000000000001,0,0,0.0208,0.0182,0.0194,6,16.110000000000003,107,1,13,7.63,40,2.5749999999999997,8,12.88,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
51,14,2,5,1402,140205,305159,0,2,1,18,8,15,26,10,15,22,12,0,0,65,61,126,0.2222,0,0,0,0,0,0.0455,0,0,0,0.07690000000000001,0,0.0397,7,18.36,181,1,16,8.08,32,3.9375,11,11.450000000000001,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
52,14,2,5,1402,140205,305142,0,2,1,18,22,17,17,21,21,20,20,0,0,76,80,156,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23.82,96,2,14,11.39,150,1.04,12,13,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
53,14,2,5,1402,140205,318907,0,2,1,4,4,7,6,9,4,6,18,0,0,26,32,58,0,0,0,0,0,0,0.16670000000000001,0,0,0,0.0385,0,0.0172,4,13,89,1,2,32.5,5,11.6,1,58,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA
54,14,2,6,1402,140206,305145,1,2,1,38,28,41,30,59,46,54,47,0,0,192,151,343,0.026300000000000004,0,0.07320000000000002,0.0333,0.050800000000000005,0,0.055600000000000004,0,0,0,0.05210000000000001,0.0066,0.032100000000000004,17,19.79,311,1,33,10.44,50,6.859999999999999,22,15.59,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
55,14,2,6,1402,140206,305146,0,2,2,19,9,29,16,26,22,34,37,0,0,108,84,192,0,0,0.0345,0,0.15380000000000002,0,0,0,0,0,0.0463,0,0.026000000000000002,9,20.939999999999998,155,1,12,15.48,90,2.133333333,22,8.729999999999999,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
56,14,2,6,1402,140206,318903,0,2,1,13,18,12,16,8,16,19,17,0,0,52,67,119,0,0,0,0.0625,0,0,0,0,0,0,0,0.0149,0.0084,6,20.25,84,1,3,40.5,42,2.8333333329999997,9,13.219999999999999,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
57,14,2,7,1402,140207,305143,1,2,2,49,45,49,47,51,49,65,41,0,0,214,182,396,0.0816,0,0.10200000000000001,0,0.058800000000000005,0.0204,0.030799999999999998,0,0,0,0.0654,0.0055,0.037899999999999996,26,15.2,539,1,16,24.52,52,7.615384614999999,43,9.209999999999999,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA
