time_point,grade,proficiency_group,total_student_count,total_assessed_count,percent_of_assessed
BoSY,Grade 10,high proficient,2450,1484398,0.16505007417148232
BoSY,Grade 10,low proficient,164202,1484398,11.061858073104384
BoSY,Grade 10,nearly proficient,27415,1484398,1.8468766462902806
BoSY,Grade 10,not proficient,1281142,1484398,86.30717637722498
BoSY,Grade 10,proficient,9189,1484398,0.619038829208878
BoSY,Grade 7,high proficient,1374,1867270,0.07358335966410856
BoSY,Grade 7,low proficient,335819,1867270,17.984490727104276
BoSY,Grade 7,nearly proficient,64569,1867270,3.457935917141067
BoSY,Grade 7,not proficient,1451237,1867270,77.71971916219935
BoSY,Grade 7,proficient,14271,1867270,0.7642708338911888
BoSY,Grade 8,high proficient,1947,1725585,0.11283130068933145
BoSY,Grade 8,low proficient,204264,1725585,11.837376889576579
BoSY,Grade 8,nearly proficient,47569,1725585,2.756688311500158
BoSY,Grade 8,not proficient,1461425,1725585,84.69156836666986
BoSY,Grade 8,proficient,10380,1725585,0.6015351315640782
BoSY,Grade 9,high proficient,1583,1393279,0.1136168707057237
BoSY,Grade 9,low proficient,116338,1393279,8.349942832698979
BoSY,Grade 9,nearly proficient,23636,1393279,1.6964297890085187
BoSY,Grade 9,not proficient,1244385,1393279,89.31341102535816
BoSY,Grade 9,proficient,7337,1393279,0.5265994822286132
EoSY,Grade 10,high proficient,637,93392,0.6820712694877505
EoSY,Grade 10,low proficient,26433,93392,28.303280794928902
EoSY,Grade 10,nearly proficient,4902,93392,5.248843584032894
EoSY,Grade 10,not proficient,59236,93392,63.42727428473531
EoSY,Grade 10,proficient,2184,93392,2.338530066815145
EoSY,Grade 7,high proficient,934,117919,0.7920691322009176
EoSY,Grade 7,low proficient,36668,117919,31.095921776812897
EoSY,Grade 7,nearly proficient,16051,117919,13.61188612522155
EoSY,Grade 7,not proficient,59542,117919,50.493983157930444
EoSY,Grade 7,proficient,4724,117919,4.006139807834192
EoSY,Grade 8,high proficient,595,111812,0.5321432404393088
EoSY,Grade 8,low proficient,30077,111812,26.899617214610238
EoSY,Grade 8,nearly proficient,11342,111812,10.143812828676708
EoSY,Grade 8,not proficient,66610,111812,59.5732121775838
EoSY,Grade 8,proficient,3188,111812,2.851214538689944
EoSY,Grade 9,high proficient,382,90322,0.4229312902725803
EoSY,Grade 9,low proficient,22120,90322,24.490157436726378
EoSY,Grade 9,nearly proficient,4456,90322,4.933460286530414
EoSY,Grade 9,not proficient,61748,90322,68.36429662762117
EoSY,Grade 9,proficient,1616,90322,1.7891543588494498
