row_number_from_source_file,region_code,division_code,municipality_code,full_division_code,full_municipality_code,beis_school_id,implementing_unit,modified_coc,school_type,enroll_g7_m,enroll_g7_f,enroll_g8_m,enroll_g8_f,enroll_g9_m,enroll_g9_f,enroll_g10_m,enroll_g10_f,enroll_sn_ed_ngjhs_m,enroll_sn_ed_ngjhs_f,enroll_total_jhs_m,enroll_total_jhs_f,enroll_total_jhs_all,dropout_rate_g7_m,dropout_rate_g7_f,dropout_rate_g8_m,dropout_rate_g8_f,dropout_rate_g9_m,dropout_rate_g9_f,dropout_rate_g10_m,dropout_rate_g10_f,dropout_rate_sn_ed_ngjhs_m,dropout_rate_sn_ed_ngjhs_f,dropout_rate_total_jhs_m,dropout_rate_total_jhs_f,dropout_rate_total_jhs_all,jhs_instructional_rooms,jhs_classroom_ratio,jhs_seats,jhs_seat_ratio,jhs_toilet,jhs_toilet_ratio,jhs_computer,jhs_computer_ratio,jhs_teacher,jhs_teacher_ratio,cancel_2016,cancel_2017,cancel_2018,cancel_2019,cancel_2020,cancel_2021,cancel_2022,cancel_2023,cancel_total_20162023,cancel_average_20162023,pilot_cancel,pilot_ratio,pilot_shift,randomized_eval_id,rev_status,philiri_bosy_region,philiri_bosy_division,philiri_bosy_district,philiri_bosy_school_name,philiri_bosy_total_enrolled_g7_g10,philiri_bosy_total_assessed_g7_g10,philiri_bosy_g7_fil_assessed,philiri_bosy_g7_fil_grade_ready,philiri_bosy_g7_fil_frustration_2level,philiri_bosy_g7_fil_instructional_2level,philiri_bosy_g7_fil_independent_2level,philiri_bosy_g7_fil_frustration_3level,philiri_bosy_g7_fil_instructional_3level,philiri_bosy_g7_fil_independent_3level,philiri_bosy_g7_eng_assessed,philiri_bosy_g7_eng_grade_ready,philiri_bosy_g7_eng_frustration_2level,philiri_bosy_g7_eng_instructional_2level,philiri_bosy_g7_eng_independent_2level,philiri_bosy_g7_eng_frustration_3level,philiri_bosy_g7_eng_instructional_3level,philiri_bosy_g7_eng_independent_3level,philiri_bosy_g8_fil_assessed,philiri_bosy_g8_fil_grade_ready,philiri_bosy_g8_fil_frustration_2level,philiri_bosy_g8_fil_instructional_2level,philiri_bosy_g8_fil_independent_2level,philiri_bosy_g8_fil_frustration_3level,philiri_bosy_g8_fil_instructional_3level,philiri_bosy_g8_fil_independent_3level,philiri_bosy_g8_eng_assessed,philiri_bosy_g8_eng_grade_ready,philiri_bosy_g8_eng_frustration_2level,philiri_bosy_g8_eng_instructional_2level,philiri_bosy_g8_eng_independent_2level,philiri_bosy_g8_eng_frustration_3level,philiri_bosy_g8_eng_instructional_3level,philiri_bosy_g8_eng_independent_3level,philiri_bosy_g9_fil_assessed,philiri_bosy_g9_fil_grade_ready,philiri_bosy_g9_fil_frustration_2level,philiri_bosy_g9_fil_instructional_2level,philiri_bosy_g9_fil_independent_2level,philiri_bosy_g9_fil_frustration_3level,philiri_bosy_g9_fil_instructional_3level,philiri_bosy_g9_fil_independent_3level,philiri_bosy_g9_eng_assessed,philiri_bosy_g9_eng_grade_ready,philiri_bosy_g9_eng_frustration_2level,philiri_bosy_g9_eng_instructional_2level,philiri_bosy_g9_eng_independent_2level,philiri_bosy_g9_eng_frustration_3level,philiri_bosy_g9_eng_instructional_3level,philiri_bosy_g9_eng_independent_3level,philiri_bosy_g10_fil_assessed,philiri_bosy_g10_fil_grade_ready,philiri_bosy_g10_fil_frustration_2level,philiri_bosy_g10_fil_instructional_2level,philiri_bosy_g10_fil_independent_2level,philiri_bosy_g10_fil_frustration_3level,philiri_bosy_g10_fil_instructional_3level,philiri_bosy_g10_fil_independent_3level,philiri_bosy_g10_eng_assessed,philiri_bosy_g10_eng_grade_ready,philiri_bosy_g10_eng_frustration_2level,philiri_bosy_g10_eng_instructional_2level,philiri_bosy_g10_eng_independent_2level,philiri_bosy_g10_eng_frustration_3level,philiri_bosy_g10_eng_instructional_3level,philiri_bosy_g10_eng_independent_3level,philiri_eosy_region,philiri_eosy_division,philiri_eosy_district,philiri_eosy_school_name,philiri_eosy_total_enrolled_g7_g10,philiri_eosy_total_assessed_g7_g10,philiri_eosy_total_fil_frustration,philiri_eosy_total_fil_instructional,philiri_eosy_total_fil_independent,philiri_eosy_total_eng_frustration,philiri_eosy_total_eng_instructional,philiri_eosy_total_eng_independent,philiri_eosy_g7_fil_assessed,philiri_eosy_g7_fil_frustration,philiri_eosy_g7_fil_instructional,philiri_eosy_g7_fil_independent,philiri_eosy_g7_eng_assessed,philiri_eosy_g7_eng_frustration,philiri_eosy_g7_eng_instructional,philiri_eosy_g7_eng_independent,philiri_eosy_g8_fil_assessed,philiri_eosy_g8_fil_frustration,philiri_eosy_g8_fil_instructional,philiri_eosy_g8_fil_independent,philiri_eosy_g8_eng_assessed,philiri_eosy_g8_eng_frustration,philiri_eosy_g8_eng_instructional,philiri_eosy_g8_eng_independent,philiri_eosy_g9_fil_assessed,philiri_eosy_g9_fil_frustration,philiri_eosy_g9_fil_instructional,philiri_eosy_g9_fil_independent,philiri_eosy_g9_eng_assessed,philiri_eosy_g9_eng_frustration,philiri_eosy_g9_eng_instructional,philiri_eosy_g9_eng_independent,philiri_eosy_g10_fil_assessed,philiri_eosy_g10_fil_frustration,philiri_eosy_g10_fil_instructional,philiri_eosy_g10_fil_independent,philiri_eosy_g10_eng_assessed,philiri_eosy_g10_eng_frustration,philiri_eosy_g10_eng_instructional,philiri_eosy_g10_eng_independent
1,14,2,1,1402,140201,502170,0,1,1,6,9,14,10,6,6,12,11,0,0,38,36,74,0,0,0,0,0,0.16670000000000001,0,0,0,0,0,0.0278,0.013500000000000002,11,6.73,54,1,7,10.57,40,1.85,3,24.67,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA,CAR,Benguet,Atok,Boneng Integrated School,91,91,30,0,5,3,5,7,5,5,30,1,9,5,2,7,3,3,24,8,3,2,3,3,2,3,24,0,5,4,4,4,5,2,17,6,0,3,2,3,1,2,17,0,3,2,3,5,2,2,20,4,2,2,3,4,3,2,20,0,4,5,3,3,2,3,CAR,Benguet,Atok,Boneng Integrated School,88,88,12,24,36,14,36,38,28,4,10,14,28,5,13,10,16,2,6,8,23,3,8,12,11,2,3,6,17,2,8,7,17,4,5,8,20,4,7,9
2,14,2,4,1402,140204,501753,0,1,1,13,15,17,19,13,12,9,18,0,0,52,64,116,0.3077,0,0.058800000000000005,0,0.07690000000000001,0,0,0,0,0,0.1154,0,0.0517,6,19.330000000000002,105,1,6,19.330000000000002,49,2.3673469389999995,6,19.330000000000002,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA,CAR,Benguet,Buguias,Amlimay Integrated School,110,110,36,3,2,8,0,18,5,0,36,4,8,4,2,12,4,2,32,13,4,4,1,8,2,0,32,1,6,2,1,12,6,4,17,6,9,0,0,1,1,0,17,6,2,1,0,7,1,0,25,11,14,0,0,0,0,0,25,0,7,1,0,15,2,0,CAR,Benguet,Buguias,Amlimay Integrated School,110,94,0,31,38,13,51,29,31,0,14,17,30,5,17,8,16,0,7,9,29,3,16,10,10,0,4,6,11,1,6,4,12,0,6,6,23,4,12,7
3,14,2,4,1402,140204,501757,0,1,1,10,8,7,13,9,6,9,11,0,0,35,38,73,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.5,286,0,5,15,17,4.294117646999998,6,12.17,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA,CAR,Benguet,Buguias,Lam-ayan Integrated School,90,90,24,12,6,2,2,2,0,0,24,0,3,4,0,16,1,0,25,9,6,9,0,1,0,0,25,0,0,2,0,22,1,0,17,10,7,0,0,0,0,0,17,0,4,5,0,7,1,0,24,14,4,5,0,1,0,0,24,0,8,2,0,12,2,0,CAR,Benguet,Buguias,Lam-ayan Integrated School,84,84,6,23,17,17,32,35,12,2,6,4,20,5,6,9,16,3,7,6,25,8,9,8,8,0,5,3,16,2,6,8,10,1,5,4,23,2,11,10
4,14,2,4,1402,140204,501759,0,1,1,19,13,23,17,24,12,15,11,0,0,81,53,134,0.05260000000000001,0,0.13040000000000002,0,0.0417,0,0,0,0,0,0.0617,0,0.0373,11,12.229999999999999,97,1,10,13.25,0,-999,6,22.330000000000002,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA,CAR,Benguet,Buguias,Bad-ayan Integrated School,180,180,67,5,18,10,16,2,8,8,67,4,16,19,11,1,2,14,42,3,6,11,9,2,5,6,42,8,5,11,8,1,3,6,37,3,13,7,2,0,9,3,37,4,7,8,5,0,5,8,34,6,2,15,5,0,3,3,34,6,12,9,3,0,1,3,CAR,Benguet,Buguias,Bad-ayan Integrated School,176,176,0,106,70,0,114,62,66,0,42,24,66,0,46,20,41,0,18,23,41,0,22,19,35,0,21,14,35,0,24,11,34,0,25,9,34,0,22,12
5,14,2,6,1402,140206,502174,0,1,1,16,17,15,19,11,20,15,15,0,0,57,71,128,0,0,0,0,0,0,0.06670000000000001,0.06670000000000001,0,0,0.0175,0.0141,0.0156,8,16.6,103,1,5,27.67,41,3.12195122,1,128,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA,CAR,Benguet,Kabayan,Abucot Integrated School,143,143,43,0,4,4,3,0,10,22,43,2,15,5,2,2,4,13,36,1,10,4,2,0,7,12,36,3,9,6,2,0,1,15,30,5,6,8,7,0,0,4,30,4,10,9,2,0,0,5,34,12,2,11,9,0,0,0,34,5,6,13,6,0,0,4,CAR,Benguet,Kabayan,Abucot Integrated School,140,140,22,46,72,26,65,49,43,11,18,14,43,9,25,9,35,7,13,15,35,5,13,17,30,4,9,17,30,7,14,9,32,0,6,26,32,5,13,14
6,14,2,7,1402,140207,501203,0,1,1,17,12,18,22,19,16,13,17,0,0,67,67,134,0.058800000000000005,0.0833,0.1111,0.0909,0.1053,0,0,0,0,0,0.07460000000000001,0.0448,0.0597,2,68,27,5,0,-999,80,1.675,8,16.75,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA,CAR,Benguet,Kapangan,Datakan Integrated School,109,109,27,0,15,0,0,12,0,0,27,0,12,2,0,13,0,0,25,3,20,0,0,2,0,0,25,0,11,1,0,11,2,0,26,15,5,2,1,3,0,0,26,1,12,4,4,3,1,1,31,20,0,0,2,0,0,9,31,2,20,3,0,6,0,0,CAR,Benguet,Kapangan,Datakan Integrated School,102,99,29,17,1,63,30,5,23,13,10,0,22,19,3,0,12,10,2,0,25,18,6,1,10,5,5,0,22,16,5,1,2,1,0,1,29,10,16,3
7,14,2,7,1402,140207,502172,0,1,1,27,18,22,16,27,26,27,30,0,0,103,90,193,0.037,0,0,0,0,0,0,0,0,0,0.009699999999999999,0,0.0052,8,25.36,181,1,4,46.5,93,2.0752688169999995,2,96.5,3,1,2,8,2,2,9,12,39,5,1,1,0,NA,NA,CAR,Benguet,Kapangan,Taba-ao Integrated School,164,158,37,19,5,5,6,0,0,2,38,0,3,5,5,3,8,14,48,31,5,4,6,0,0,2,50,0,2,10,5,4,7,22,37,25,2,4,4,0,0,2,40,20,2,8,8,0,0,2,36,23,2,5,5,0,0,1,36,14,3,11,5,0,1,2,CAR,Benguet,Kapangan,Taba-ao Integrated School,165,71,0,10,53,11,44,16,17,0,2,15,18,4,10,4,17,0,3,14,19,3,14,2,15,0,3,12,15,2,10,3,14,0,2,12,19,2,10,7
8,14,2,8,1402,140208,501810,0,1,1,3,5,11,12,7,6,4,13,0,0,25,36,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,77,1,1,90,14,4.357142856999999,10,6.1,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA,CAR,Benguet,Kibungan,Tacadang Integrated School,63,63,19,0,10,4,5,0,0,0,19,0,3,5,0,10,1,0,21,0,7,5,0,5,4,0,21,0,2,2,0,13,3,1,6,0,3,3,0,0,0,0,6,0,1,1,0,4,0,0,17,0,4,10,3,0,0,0,17,0,10,0,0,7,0,0,CAR,Benguet,Kibungan,Tacadang Integrated School,61,62,0,5,56,6,47,8,18,0,2,16,18,2,14,2,20,0,3,17,21,3,16,2,6,0,0,6,6,0,5,1,17,0,0,17,16,1,12,3
9,14,2,5,1402,140205,305126,0,2,1,41,35,39,51,44,39,48,48,0,0,172,173,345,0.0488,0,0.10260000000000001,0,0.06820000000000001,0.0256,0.0417,0,0,0,0.064,0.0058000000000000005,0.034800000000000005,6,56.92,162,2,3,113.83,0,-999,17,20.29,3,1,2,8,2,2,9,12,39,5,1,0,1,NA,NA,CAR,Benguet,Itogon II,Ampucao National High School,361,358,107,0,15,10,9,18,4,51,107,1,28,4,0,53,21,0,91,5,29,21,7,23,4,2,91,0,9,12,5,60,5,0,74,17,33,6,1,15,1,1,74,1,20,10,0,37,6,0,86,31,51,4,0,0,0,0,51,1,18,22,3,3,3,1,CAR,Benguet,Itogon II,Ampucao National High School,339,338,132,149,54,166,149,23,101,41,42,18,103,61,32,10,79,50,21,8,79,50,24,5,67,18,31,18,68,26,39,3,88,23,55,10,88,29,54,5
10,14,2,1,1402,140201,502619,0,3,1,20,11,0,0,0,0,0,0,0,0,20,11,31,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.129,10,3.1,195,0,12,2.58,0,-999,3,10.33,3,1,2,8,2,2,9,12,39,5,1,0,0,NA,NA,CAR,Benguet,Atok,Cagui-ing Integrated School,82,82,35,21,1,3,9,0,0,1,35,8,6,5,5,2,1,8,29,16,3,4,4,0,0,2,28,4,6,5,3,3,4,3,18,14,1,1,2,0,0,0,18,2,4,2,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,Benguet,Atok,Cagui-ing Integrated School,79,79,3,9,67,5,13,61,32,1,5,26,32,2,6,24,28,1,3,24,28,1,5,22,19,1,1,17,19,2,2,15,0,0,0,0,0,0,0,0
