audit_type,source_dataset,source_file,school_id,school_name,region,division,grade,level_group,audit_value,comparison_value,difference,audit_note
DLP school unmatched to assessment,Phil-IRI BoSY,Phil-IRI KS3 National Dashboard_Secondary - BoSY 2025-26_Table.csv,305304,NA,15,7,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI BoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI BoSY,Phil-IRI KS3 National Dashboard_Secondary - BoSY 2025-26_Table.csv,500151,NA,4,18,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI BoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI BoSY,Phil-IRI KS3 National Dashboard_Secondary - BoSY 2025-26_Table.csv,501734,NA,7,3,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI BoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,300778,NA,3,7,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,301452,NA,4,17,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,302989,NA,7,5,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,306049,NA,3,13,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,306717,NA,3,7,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,306950,NA,3,15,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,306951,NA,3,15,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,306952,NA,3,15,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,500151,NA,4,18,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,501015,NA,4,3,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,501168,NA,3,13,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,501342,NA,14,1,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,501734,NA,7,3,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,501812,NA,3,13,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,Phil-IRI EoSY,Phil-IRI KS3 National Dashboard_Secondary - EoSY 2025-26_Table.csv,501827,NA,3,15,NA,NA,NA,NA,NA,DLP school did not match to the Phil-IRI EoSY file by school ID.
DLP school unmatched to assessment,RMA BoSY,RMA (KS3) National Dashboard_BoSY 2025-26 Assessment Results_Table.csv,301978,NA,5,3,NA,NA,NA,NA,NA,DLP school did not match to the RMA BoSY file by school ID.
DLP school unmatched to assessment,RMA BoSY,RMA (KS3) National Dashboard_BoSY 2025-26 Assessment Results_Table.csv,317002,NA,12,1,NA,NA,NA,NA,NA,DLP school did not match to the RMA BoSY file by school ID.
DLP school unmatched to assessment,RMA BoSY,RMA (KS3) National Dashboard_BoSY 2025-26 Assessment Results_Table.csv,500151,NA,4,18,NA,NA,NA,NA,NA,DLP school did not match to the RMA BoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300032,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300033,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300034,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300035,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300036,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300037,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300038,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300039,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300040,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300041,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300042,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300043,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300045,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300046,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300048,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300049,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300050,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300053,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300054,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300055,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300056,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300057,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300058,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300059,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300060,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300061,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300062,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300063,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300064,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300065,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300066,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300067,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300068,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300069,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300070,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300071,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300072,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300073,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300074,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300075,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300076,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300077,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300078,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300079,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300080,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300081,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300085,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300086,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300087,NA,1,5,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300099,NA,1,11,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300106,NA,1,6,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300112,NA,1,6,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300116,NA,1,11,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300118,NA,1,11,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300120,NA,1,6,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300122,NA,1,6,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300126,NA,1,11,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300133,NA,15,10,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300155,NA,1,1,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300269,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300271,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300272,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300273,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300274,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300275,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300276,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300277,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300278,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300279,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300280,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300281,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300282,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300283,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300284,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300285,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300286,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300287,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300288,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300289,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300290,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300292,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
DLP school unmatched to assessment,RMA EoSY,RMA (KS3) National Dashboard_EoSY 2025-26 Assessment Results_Table.csv,300293,NA,1,9,NA,NA,NA,NA,NA,DLP school did not match to the RMA EoSY file by school ID.
