region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
BARMM,Basilan,Akbar,318004,AKBAR NATIONAL HIGH SCHOOL,373,318,0.7767295597484277,0.18238993710691823,0.04088050314465409,0,0,247,58,13,0,0,105,63,29,13,0,0,73,61,12,0,0,0,71,71,0,0,0,0,69,52,17,0,0,0
BARMM,Basilan,Al-Barka,306295,AL-BARKA NATIONAL HIGH SCHOOL,132,132,0.9772727272727272,0.022727272727272724,0,0,0,129,3,0,0,0,81,81,0,0,0,0,51,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARMM,Basilan,Hadji Mohammad Ajul,318003,Buton NHS,214,224,0,0.2901785714285715,0.5133928571428571,0.1964285714285714,0,0,65,115,44,0,52,0,20,29,3,0,54,0,11,28,15,0,70,0,21,32,17,0,48,0,13,26,9,0
BARMM,Basilan,Hadji Mohammad Ajul,304949,Sinulatan NHS-Tuburan Annex,356,356,0.011235955056179777,0.6207865168539325,0.303370786516854,0.06460674157303374,0,4,221,108,23,0,130,1,70,48,11,0,90,2,52,30,6,0,80,1,59,17,3,0,56,0,40,13,3,0
BARMM,Basilan,Hadji Muhtamad,304941,Lubukan NHS,403,404,0.8836633663366336,0.09405940594059405,0.022277227722772273,0,0,357,38,9,0,0,106,106,0,0,0,0,54,7,38,9,0,0,123,123,0,0,0,0,121,121,0,0,0,0
BARMM,Basilan,Hadji Muhtamad,304942,Lubukan NHS-Sangbay Small Annex,241,239,0.9958158995815901,0.004184100418410042,0,0,0,238,1,0,0,0,49,48,1,0,0,0,80,80,0,0,0,0,59,59,0,0,0,0,51,51,0,0,0,0
BARMM,Basilan,Lantawan,304926,Atong-Atong NHS,361,362,0.9861878453038674,0.013812154696132596,0,0,0,357,5,0,0,0,110,108,2,0,0,0,88,86,2,0,0,0,76,76,0,0,0,0,88,87,1,0,0,0
BARMM,Basilan,Lantawan,304927,Atong-Atong NHS - Tairan Annex,411,415,0.9566265060240966,0.043373493975903614,0,0,0,397,18,0,0,0,149,132,17,0,0,0,104,104,0,0,0,0,103,103,0,0,0,0,59,58,1,0,0,0
BARMM,Basilan,Lantawan,304936,Concepcion NHS,354,353,0.8781869688385269,0.07365439093484417,0.0481586402266289,0,0,310,26,17,0,0,95,55,23,17,0,0,78,75,3,0,0,0,99,99,0,0,0,0,81,81,0,0,0,0
BARMM,Basilan,Maluso,304943,Maluso NHS,2701,2647,0.9557990177559502,0.04420098224404987,0,0,0,2530,117,0,0,0,786,677,109,0,0,0,700,693,7,0,0,0,631,630,1,0,0,0,530,530,0,0,0,0
BARMM,Basilan,Sumisip,304950,Sumisip Agro-Fisheries School,637,574,0.2543554006968642,0.22473867595818817,0.31358885017421606,0.20731707317073172,0,146,129,180,119,0,189,69,26,56,38,0,155,40,48,48,19,0,137,16,36,49,36,0,93,21,19,27,26,0
BARMM,Basilan,Sumisip,304952,Sumisip NHS-Manggal Annex,537,491,0.9898167006109978,0.010183299389002037,0,0,0,486,5,0,0,0,154,149,5,0,0,0,123,123,0,0,0,0,109,109,0,0,0,0,105,105,0,0,0,0
BARMM,Basilan,Sumisip,304953,Sumisip NHS-Tumahubong Annex,515,458,0.9694323144104804,0.030567685589519646,0,0,0,444,14,0,0,0,100,98,2,0,0,0,143,131,12,0,0,0,118,118,0,0,0,0,97,97,0,0,0,0
BARMM,Basilan,Sumisip,304951,Sumisip National High School,255,255,1,0,0,0,0,255,0,0,0,0,93,93,0,0,0,0,62,62,0,0,0,0,51,51,0,0,0,0,49,49,0,0,0,0
BARMM,Basilan,Tabuan-Lasa,304933,Bubuan NHS,275,271,0.7933579335793357,0.18819188191881916,0.018450184501845022,0,0,215,51,5,0,0,53,27,23,3,0,0,69,46,22,1,0,0,95,93,2,0,0,0,54,49,4,1,0,0
BARMM,Basilan,Tabuan-Lasa,304934,Bubuan NHS-Saluping Annex,366,321,0.06542056074766354,0.2367601246105919,0.42679127725856697,0.25545171339563866,0.01557632398753894,21,76,137,82,5,93,9,46,31,7,0,84,12,28,29,15,0,82,0,1,41,40,0,62,0,1,36,20,5
BARMM,Basilan,Tipo-Tipo,304937,Jacinto Cuevas NHS,421,413,0.7820823244552055,0.21791767554479424,0,0,0,323,90,0,0,0,116,73,43,0,0,0,92,59,33,0,0,0,106,98,8,0,0,0,99,93,6,0,0,0
BARMM,Basilan,Tipo-Tipo,304954,Tipo-Tipo NHS,1582,1582,1,0,0,0,0,1582,0,0,0,0,466,466,0,0,0,0,328,328,0,0,0,0,443,443,0,0,0,0,345,345,0,0,0,0
BARMM,Basilan,Tuburan,304947,Sinangkapan NHS,402,373,0.9276139410187666,0.07238605898123328,0,0,0,346,27,0,0,0,113,96,17,0,0,0,104,103,1,0,0,0,84,79,5,0,0,0,72,68,4,0,0,0
BARMM,Basilan,Tuburan,304948,Sinulatan NHS,326,286,0.18881118881118883,0.17482517482517484,0.3111888111888113,0.3076923076923077,0.017482517482517484,54,50,89,88,5,80,15,13,16,36,0,79,10,13,32,24,0,69,18,16,20,13,2,58,11,8,21,15,3
BARMM,Basilan,Ungkaya Pukan,306296,UNGKAYA PUKAN NATIONAL HIGH SCHOOL,252,252,0.9920634920634922,0.007936507936507938,0,0,0,250,2,0,0,0,150,150,0,0,0,0,102,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARMM,Cotabato City,City of Cotabato,304628,CANIZARES NATIONAL HIGH SCHOOL- School of Arts and Trades,908,907,0.9117971334068359,0.08820286659316424,0,0,0,827,80,0,0,0,237,219,18,0,0,0,241,230,11,0,0,0,221,187,34,0,0,0,208,191,17,0,0,0
BARMM,Cotabato City,City of Cotabato,316903,CCNHS - ANNEX ( Bubong Site),296,296,0.9087837837837838,0.08783783783783783,0.003378378378378379,0,0,269,26,1,0,0,82,75,6,1,0,0,67,59,8,0,0,0,84,75,9,0,0,0,63,60,3,0,0,0
BARMM,Cotabato City,City of Cotabato,316906,CCNHS - Annex (Diocolano Site),92,92,0.42391304347826086,0.5543478260869565,0.0217391304347826,0,0,39,51,2,0,0,24,3,20,1,0,0,20,0,19,1,0,0,26,22,4,0,0,0,22,14,8,0,0,0
BARMM,Cotabato City,City of Cotabato,316907,CCNHS - Annex (Don E. Sero Site),416,407,0.9582309582309583,0.041769041769041775,0,0,0,390,17,0,0,0,127,114,13,0,0,0,104,104,0,0,0,0,88,88,0,0,0,0,88,84,4,0,0,0
BARMM,Cotabato City,City of Cotabato,316905,CCNHS - Annex (LR Sebastian Site),505,498,0.9618473895582328,0.038152610441767085,0,0,0,479,19,0,0,0,147,142,5,0,0,0,141,138,3,0,0,0,89,87,2,0,0,0,121,112,9,0,0,0
BARMM,Cotabato City,City of Cotabato,316908,CCNHS - Annex (PC Hill Site),363,363,0.9173553719008265,0.08264462809917356,0,0,0,333,30,0,0,0,120,115,5,0,0,0,99,95,4,0,0,0,72,59,13,0,0,0,72,64,8,0,0,0
BARMM,Cotabato City,City of Cotabato,316902,CCNHS - Datu Sema Kalantungan Site,156,156,0.9166666666666665,0.08333333333333333,0,0,0,143,13,0,0,0,65,63,2,0,0,0,41,38,3,0,0,0,26,22,4,0,0,0,24,20,4,0,0,0
BARMM,Cotabato City,City of Cotabato,316904,CCNHS-ANNEX (Buaya-Buaya Site),247,247,0.8704453441295548,0.12955465587044537,0,0,0,215,32,0,0,0,94,69,25,0,0,0,59,54,5,0,0,0,52,52,0,0,0,0,42,40,2,0,0,0
BARMM,Cotabato City,City of Cotabato,304630,Cotabato City NHS - Main,3008,2879,0.7926363320597428,0.18687044112539078,0.018756512678013204,0.0017367141368530741,0,2282,538,54,5,0,738,285,402,46,5,0,750,740,10,0,0,0,652,636,16,0,0,0,739,621,110,8,0,0
BARMM,Cotabato City,City of Cotabato,304629,Cotabato City NHS - Rojas #13,1761,1697,0.10842663523865649,0.15262227460223923,0.29817324690630526,0.2557454331172658,0.18503241013553332,184,259,506,434,314,458,56,77,145,105,75,398,40,40,119,102,97,404,45,63,112,116,68,437,43,79,130,111,74
BARMM,Cotabato City,City of Cotabato,304631,Datu Ayunan National High School,706,657,0.9558599695585998,0.044140030441400295,0,0,0,628,29,0,0,0,195,179,16,0,0,0,169,159,10,0,0,0,166,163,3,0,0,0,127,127,0,0,0,0
