region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
Region V,Albay,Bacacay,502478,Bariw Integrated School,62,62,0,0,0.06451612903225806,0.38709677419354843,0.5483870967741936,0,0,4,24,34,25,0,0,2,10,13,22,0,0,2,8,12,15,0,0,0,6,9,0,0,0,0,0,0
Region V,Albay,Bacacay,301816,Bonga National High School,509,491,0.6476578411405296,0.21995926680244407,0.1323828920570265,0,0,318,108,65,0,0,111,3,44,64,0,0,141,122,18,1,0,0,95,71,24,0,0,0,144,122,22,0,0,0
Region V,Albay,Bacacay,301818,Cabasan National High School,624,618,0.5954692556634306,0.32847896440129454,0.07443365695792882,0.0016181229773462784,0,368,203,46,1,0,179,9,124,45,1,0,177,130,46,1,0,0,135,107,28,0,0,0,127,122,5,0,0,0
Region V,Albay,Bacacay,301821,Cawayan National High School,541,521,0.28023032629558536,0.4568138195777352,0.16890595009596934,0.07869481765834935,0.015355086372360844,146,238,88,41,8,139,1,14,75,41,8,146,68,74,4,0,0,108,66,42,0,0,0,128,11,108,9,0,0
Region V,Albay,Bacacay,502479,Namantao Integrated School,78,78,0,0.11538461538461539,0.5512820512820512,0.3333333333333332,0,0,9,43,26,0,20,0,2,8,10,0,31,0,4,25,2,0,27,0,3,10,14,0,0,0,0,0,0,0
Region V,Albay,Bacacay,301863,Pili National High School,430,417,0.7577937649880095,0.23501199040767393,0.007194244604316545,0,0,316,98,3,0,0,117,98,19,0,0,0,109,83,23,3,0,0,83,31,52,0,0,0,108,104,4,0,0,0
Region V,Albay,Bacacay,309502,San Pablo High School,254,254,0.4960629921259843,0.4173228346456694,0.08661417322834647,0,0,126,106,22,0,0,75,23,39,13,0,0,66,2,55,9,0,0,50,48,2,0,0,0,63,53,10,0,0,0
Region V,Albay,Bacacay,301878,Sogod National High school,225,223,0.1524663677130045,0.5156950672645743,0.2914798206278028,0.040358744394618826,0,34,115,65,9,0,65,10,17,30,8,0,62,4,25,33,0,0,45,7,35,2,1,0,51,13,38,0,0,0
Region V,Albay,Bacacay,301885,Vinisitahan National High School,960,960,0.08750000000000001,0.6447916666666668,0.21041666666666672,0.05729166666666667,0,84,619,202,55,0,238,27,45,115,51,0,277,13,175,85,4,0,191,19,172,0,0,0,254,25,227,2,0,0
Region V,Albay,Camalig,301812,Bariw National High School,463,460,0.017391304347826094,0.5978260869565216,0.3717391304347825,0.013043478260869565,0,8,275,171,6,0,115,7,74,28,6,0,122,1,58,63,0,0,96,0,65,31,0,0,127,0,78,49,0,0
Region V,Albay,Camalig,301819,Caguiba National High School,196,196,0.9438775510204083,0.04591836734693879,0.01020408163265306,0,0,185,9,2,0,0,54,49,5,0,0,0,59,55,2,2,0,0,35,35,0,0,0,0,48,46,2,0,0,0
Region V,Albay,Camalig,301823,Camalig National High School,1637,1609,0.2119328775637042,0.5661901802361716,0.19825978868862648,0.020509633312616533,0.003107520198881293,341,911,319,33,5,468,106,157,186,14,5,431,89,236,87,19,0,305,127,140,38,0,0,405,19,378,8,0,0
Region V,Albay,Camalig,301822,Cotmon National High School,940,940,0.7361702127659574,0.21702127659574472,0.04680851063829788,0,0,692,204,44,0,0,251,229,20,2,0,0,264,249,11,4,0,0,190,176,14,0,0,0,235,38,159,38,0,0
Region V,Albay,Camalig,301824,Panoypoy High School,217,209,0.8612440191387561,0.13875598086124408,0,0,0,180,29,0,0,0,70,58,12,0,0,0,57,51,6,0,0,0,33,29,4,0,0,0,49,42,7,0,0,0
